"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"BAGO","3","Bago","0","Bago","30108","Kyaikdayyone","0","0","0","Sinywa",0,"0","0",0,1321,NA,"Sinywa",96.450933,17.417141,1533,1533,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Letpangon","0","0","0","Letpangon",0,"0","0",0,1876,NA,"Letpangon",96.454397,17.439354,2177,2177,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Letpangon","0","0","0","Kinchaung",0,"0","0",0,1794,NA,"Kinchaung",96.453644,17.433029,2082,2082,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayetgon","0","0","0","Thayetgon",0,"0","0",0,973,NA,"Thayetgon",96.344238,17.487468,1129,1129,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayetgon","0","0","0","Nyantaya",0,"0","0",0,876,NA,"Nyantaya",96.353123,17.455091,1017,1017,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayetgon","0","0","0","Auyawpa",0,"0","0",0,995,NA,"Auyawpa",96.338289,17.456973,1155,1155,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayetgon","0","0","0","Wundwingon",0,"0","0",0,954,NA,"Wundwingon",96.340605,17.492388,1107,1107,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Sitbinseik","0","0","0","Sitbinseik",0,"0","0",0,695,NA,"Sitbinseik",96.431431,17.46134,807,807,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Sitbinseik","0","0","0","Kawbatchan",0,"0","0",0,576,NA,"Kawbatchan",96.433088,17.440333,668,668,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Sitbinseik","0","0","0","Shwebawgon",0,"0","0",0,789,NA,"Shwebawgon",96.408873,17.468867,916,916,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Aukkaba","0","0","0","Aukkaba",0,"0","0",0,1899,NA,"Aukkaba",96.36005,17.467891,2204,2204,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Hlawga",0,"0","0",0,478,NA,"Hlawga",96.360502,17.420153,555,555,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Ingale",0,"0","0",0,457,NA,"Ingale",96.328049,17.399145,530,530,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Wito(w)",0,"0","0",0,493,NA,"Wito(w)",96.352294,17.38514,572,572,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Wito-ywathit",0,"0","0",0,436,NA,"Wito-ywathit",96.359824,17.398091,506,506,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Payalaygon",0,"0","0",0,428,NA,"Payalaygon",96.372624,17.446206,497,497,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Hlawga","0","0","0","Aungtabyegon",0,"0","0",0,91,NA,"Aungtabyegon",96.386404,17.371587,106,106,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Taandawgyi","0","0","0","Tandawgyi",0,"0","0",0,0,NA,"Tandawgyi",96.355156,17.500871,0,0,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Taandawgyi","0","0","0","Wionlaikgyi",0,"0","0",0,1872,NA,"Wionlaikgyi",96.403195,17.475797,2173,2173,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Taandawgyi","0","0","0","Pabingon",0,"0","0",0,1654,NA,"Pabingon",96.389114,17.484231,1920,1920,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Lathagon",0,"0","0",0,2597,NA,"Lathagon",96.40826,17.143448,3014,3014,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Shanywagyi","0","0","0","Shanywagyi",0,"0","0",0,5304,NA,"Shanywagyi",96.555144,17.384989,6156,6156,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Shwedan","0","0","0","Shwedan",0,"0","0",0,1323,NA,"Shwedan",96.504126,17.435232,1535,1535,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Shwedan","0","0","0","Shwedan-taung",0,"0","0",0,1287,NA,"Shwedan-taung",96.514277,17.424066,1494,1494,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Saingdi","0","0","0","Saingdi",0,"0","0",0,748,NA,"Saingdi",96.51303,17.30405,868,868,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Saingdi","0","0","0","Myolay",0,"0","0",0,725,NA,"Myolay",96.4889,17.308788,841,841,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Obo","0","0","0","Obo",0,"0","0",0,2423,NA,"Obo",96.52382,17.30894,2812,2812,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Atet-cidi(e)","0","0","0","Atet-cidi(e)",0,"0","0",0,697,NA,"Atet-cidi(e)",96.494229,17.296666,809,809,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Atet-cidi(w)","0","0","0","Atet-cidi(w)",0,"0","0",0,689,NA,"Atet-cidi(w)",96.491443,17.292525,800,800,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Auk-cidi(e)","0","0","0","Auk-cidi(e)",0,"0","0",0,2436,NA,"Auk-cidi(e)",96.493099,17.286049,2827,2827,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Auk-cidi(w)","0","0","0","Auk-cidi(w)",0,"0","0",0,2527,NA,"Auk-cidi(w)",96.494229,17.275734,2933,2933,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Mokkala","0","0","0","Mokkala",0,"0","0",0,2090,NA,"Mokkala",96.526832,17.294106,2426,2426,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Zaynyaungbin","0","0","0","Zaynyaungbinlay",0,"0","0",0,496,NA,"Zaynyaungbinlay",96.498671,17.256684,576,576,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Zaynyaungbin","0","0","0","Zaynyaungbingyi",0,"0","0",0,476,NA,"Zaynyaungbingyi",96.500704,17.264138,552,552,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Aseiktaung","0","0","0","Aungmyaysun",0,"0","0",0,487,NA,"Aungmyaysun",96.315248,17.536035,565,565,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Aseiktaung","0","0","0","Aseiktaung",0,"0","0",0,495,NA,"Aseiktaung",96.336699,17.530642,574,574,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Aseiktaung","0","0","0","Kudang",0,"0","0",0,473,NA,"Kudang",96.316595,17.547282,549,549,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Aseiktaung","0","0","0","Kyauklongyi",0,"0","0",0,386,NA,"Kyauklongyi",96.301912,17.56061,448,448,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Kanmyint","0","0","0","Kanmyint",0,"0","0",0,1518,NA,"Kanmyint",96.321941,17.529136,1762,1762,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Kanmyint","0","0","0","Kyungon",0,"0","0",0,1497,NA,"Kyungon",96.30259,17.541635,1737,1737,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Kanmyint","0","0","0","Thitseingon",0,"0","0",0,957,NA,"Thitseingon",96.334591,17.520627,1111,1111,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Kanmyint","0","0","0","Ywathitgale",0,"0","0",0,896,NA,"Ywathitgale",96.366893,17.450375,1040,1040,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Chantagon",0,"0","0",0,2690,NA,"Chantagon",96.417267,17.13955,3122,3122,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Methilagon",0,"0","0",0,2497,NA,"Methilagon",96.411469,17.131343,2898,2898,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Thabyegon",0,"0","0",0,2597,NA,"Thabyegon",96.42186,17.137517,3014,3014,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Taungbogon",0,"0","0",0,2580,NA,"Taungbogon",96.421258,17.133828,2994,2994,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Mondaing",0,"0","0",0,2476,NA,"Mondaing",96.417493,17.128783,2873,2873,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Lathagon","0","0","0","Chaungywa",0,"0","0",0,695,NA,"Chaungywa",96.417493,17.13059,807,807,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayagon","0","0","0","Thayagon",0,"0","0",0,2760,NA,"Thayagon",96.361623,17.172681,3203,3203,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayagon","0","0","0","Kameik",0,"0","0",0,2680,NA,"Kameik",96.353792,17.190376,3110,3110,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayagon","0","0","0","Sathunge",0,"0","0",0,2884,NA,"Sathunge",96.342422,17.181491,3347,3347,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayagon","0","0","0","Konthandin",0,"0","0",0,2796,NA,"Konthandin",96.339109,17.19655,3245,3245,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
"BAGO","3","Bago","0","Bago","30108","Thayagon","0","0","0","Sathange-ywathit",0,"0","0",0,2987,NA,"Sathange-ywathit",96.363279,17.203703,3467,3467,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (East)"
