"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Ayeyarwady","0","Hinthada","0","Ingabu","0","Thetkedan","0","1590","4302","Payagyun",0,"181","187",894,894,NA,"Payagyun",95.49104,17.809869,1032,1032,0.0063,0.0096,5.17,5.43,1,19,"DRD","Bago Region (West)"
"Ayeyarwady","0","Hinthada","0","Ingabu","0","Thetkedan","0","1590","4302","Shwewatun",0,"54","59",256,256,NA,"Shwewatun",95.497587,17.76825,296,296,0.0063,0.0096,5.17,5.43,1,19,"DRD","Bago Region (West)"
"Ayeyarwady","0","Hinthada","0","Ingabu","0","Gwedaukgyaung","0","1398","6777","Nyaungnigon",0,"48","52",232,232,NA,"Nyaungnigon",95.46745,17.916068,268,268,0.0063,0.0096,5.17,5.43,1,19,"DRD","Bago Region (West)"
"Ayeyarwady","0","Hinthada","0","Zalon","0","Ledu-Ashe","0","254","1231","Pattaw",0,"29","29",121,121,NA,"Pattaw",95.7268,17.521242,140,140,0.0063,0.0096,5.17,5.43,1,19,"DRD","Bago Region (West)"
"Ayeyarwady","0","Hinthada","0","Zalon","0","Thadugyaung","0","1041","5263","Paukgon",0,"12","12",77,77,NA,"Paukgon",95.583818,17.611956,89,89,0.0063,0.0096,5.17,5.43,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Zedigon","0","0","0","Ngayitsho",0,"0","0",0,486,NA,"Ngayitsho",95.55577,18.224851,564,564,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Lein Min gwin","0","0","0","Kyaungsu",0,"0","0",0,107,NA,"Kyaungsu",95.647944,18.164575,124,124,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Gommingwin","0","0","0","Leinbingwin",0,"0","0",0,192,NA,"Leinbingwin",95.652566,18.184978,223,223,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Gommingwin","0","0","0","Leinbingwin-myoutsu",0,"0","0",0,1350,NA,"Leinbingwin-myoutsu",95.653682,18.18992,1567,1567,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Okkan",0,"0","0",0,330,NA,"Okkan",95.639575,18.203788,383,383,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Okkan-kyaungsu",0,"0","0",0,0,NA,"Okkan-kyaungsu",95.641568,18.203868,0,0,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Palangon",0,"0","0",0,0,NA,"Palangon",95.648422,18.20315,0,0,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Magyigon",0,"0","0",0,382,NA,"Magyigon",95.655037,18.201078,443,443,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Kyungon",0,"0","0",0,256,NA,"Kyungon",95.649857,18.168719,297,297,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Thedwin",0,"0","0",0,587,NA,"Thedwin",95.64131,18.218096,681,681,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Okkan","0","0","0","Konmyint",0,"0","0",0,1046,NA,"Konmyint",95.650613,18.221776,1214,1214,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Saikaung","0","0","0","Saikaung",0,"0","0",0,997,NA,"Saikaung",95.631598,18.231028,1157,1157,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Saikaung","0","0","0","Thasi",0,"0","0",0,452,NA,"Thasi",95.644888,18.253008,525,525,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Bugyi","0","0","0","Bugyi",0,"0","0",0,120,NA,"Bugyi",95.616274,18.228578,139,139,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Bugyi","0","0","0","Ponnayeik",0,"0","0",0,502,NA,"Ponnayeik",95.62434,18.228268,583,583,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Bugyi","0","0","0","Thetkeyingon",0,"0","0",0,931,NA,"Thetkeyingon",95.60048,18.22847,1080,1080,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Tumyaung","0","0","0","Tumyaung",0,"0","0",0,152,NA,"Tumyaung",95.600379,18.252054,176,176,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Tumyaung","0","0","0","Kyungon",0,"0","0",0,160,NA,"Kyungon",95.631352,18.254584,186,186,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Letpanpinsu","0","0","0","Letpansu",0,"0","0",0,763,NA,"Letpansu",95.651697,18.268755,885,885,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Letpanpinsu","0","0","0","Thamanze",0,"0","0",0,215,NA,"Thamanze",95.638437,18.244968,250,250,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
"Pegu(west)","4","Thayawady","0","Gyobingauk","40204","Aungbintha","0","0","0","Aungbinthagyi",0,"0","0",0,364,NA,"Aungbinthagyi",95.62042,18.274221,422,422,0.0098,0.01,5.18,5.25,1,19,"DRD","Bago Region (West)"
