"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Dauchim","12010103","197","1379","Aive",12010103002,"64","64",448,448,NA,"Aive",93.729617,22.647673,502,502,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Malsawm","12010120","220","1540","Bantalan",12010120003,"50","50",350,350,NA,"Bantalan",93.829284,22.535277,392,392,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Bonethwa","12010122","74","518","Bonethwa",12010122001,"52","52",364,364,NA,"Bonethwa",93.767094,22.401197,408,408,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Kyanvar","12010129","338","2366","Bonezone",12010129003,"30","30",210,210,NA,"Bonezone",93.923235,22.19373,235,235,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Bonlone","12010109","230","1610","Bonlone",12010109001,"230","230",1610,1610,NA,"Bonlone",93.541714,22.495145,1805,1805,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Harron","12010118","164","1148","Bualtak",12010118003,"34","34",238,238,NA,"Bualtak",93.723298,22.749689,267,267,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Zarhtal","12010121","211","1477","Bungtuah",12010121002,"81","81",567,567,NA,"Bungtuah",93.607731,22.49515,636,636,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Bwartat","12010119","130","910","Bwartat",12010119001,"50","50",350,350,NA,"Bwartat",93.665058,22.581189,392,392,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Kyanvar","12010129","338","2366","Chawnkywn",12010129006,"57","57",399,399,NA,"Chawnkywn",93.918875,22.172441,447,447,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Chunsung","12010101","332","1680","Chunsung",12010101001,"332","332",1680,1680,NA,"Chunsung",93.568396,22.768437,1884,1884,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Dauchim","12010103","197","1379","Dauchim",12010103001,"53","53",371,371,NA,"Dauchim",93.752432,22.681743,416,416,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Daungbar","12010130","80","560","Daungbar",12010130001,"80","80",560,560,NA,"Daungbar",93.524961,22.418077,628,628,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Khuapi","12010124","135","945","Dinlaupa",12010124002,"60","60",420,420,NA,"Dinlaupa",93.603926,22.39721,471,471,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Dwambar","12010127","186","1302","Dwambar",12010127001,"75","75",525,525,NA,"Dwambar",93.76994,22.146937,589,589,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Haiphai","12010115","117","819","Haiphai",12010115001,"50","50",350,350,NA,"Haiphai",93.820874,22.729501,392,392,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Harnhring","12010113","95","665","Harnhring",12010113001,"95","95",665,665,NA,"Harnhring",93.666954,22.736497,746,746,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Harron","12010118","164","1148","Harron",12010118001,"80","80",560,560,NA,"Harron",93.670604,22.697865,628,628,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Malsawm","12010120","220","1540","Harronudwin",12010120002,"90","90",630,630,NA,"Harronudwin",93.772889,22.536408,706,706,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Haiphai","12010115","117","819","Hata",12010115002,"35","35",245,245,NA,"Hata",93.864678,22.757486,275,275,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Swamsee","12010125","119","833","Hausen",12010125002,"50","50",350,350,NA,"Hausen",93.652286,22.319689,392,392,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Vanha","12010117","116","812","Hinaihkah",12010117002,"56","56",392,392,NA,"Hinaihkah",93.78863,22.6133,439,439,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Tihpul","12010112","188","1316","Hiyon",12010112002,"88","88",616,616,NA,"Hiyon",93.624626,22.782741,691,691,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Hniarlawn","12010105","180","1260","Hniarlawn",12010105001,"180","180",1260,1260,NA,"Hniarlawn",93.618892,22.694215,1413,1413,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Kyanvar","12010129","338","2366","Kayayezorn",12010129005,"58","58",406,406,NA,"Kayayezorn",93.903306,22.233705,455,455,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
"Chin","12","Pha Lam","1201","Ha Kha","120101","Haiphai","12010115","117","819","Keipaw",12010115003,"32","32",224,224,NA,"Keipaw",93.860419,22.779084,251,251,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Chin State"
