"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Sagaing","0","Katha","0","Katha","0","","0","165","1674","Chaungwa",0,"135","150",1204,1204,NA,"Chaungwa",96.601499,24.372282,1435,1435,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Kachin State"
"Sagaing","0","Katha","0","Katha","0","","0","165","1674","Thapanaik",0,"12","20",178,178,NA,"Thapanaik",96.597689,24.372282,212,212,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Kachin State"
"Sagaing","0","Katha","0","Indaw","0","","0","648","4404","Paygon",0,"304","335",2033,2033,NA,"Paygon",96.192795,24.558906,2423,2423,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Kachin State"
"Sagaing","0","Katha","0","Indaw","0","","0","648","4404","Myaypalin",0,"57","64",400,400,NA,"Myaypalin",96.202274,24.540737,477,477,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Sin-lum-kaji",9021301001,"20","20",226,226,NA,"Sin-lum-kaji",97.5464709,24.2886978,259,259,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Samakaung",9021301002,"9","9",68,68,NA,"Samakaung",97.5689814,24.2897296,78,78,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Htingnan-kawng",9021301003,"10","10",94,94,NA,"Htingnan-kawng",97.5588048,24.2812881,108,108,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Waloi Hpung yang",9021301004,"11","11",86,86,NA,"Waloi Hpung yang",97.5758284,24.2738784,99,99,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Khandon",9021301005,"11","11",68,68,NA,"Khandon",97.5548185,24.2747225,78,78,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
"Kachin","9","Banmaw","902","Lwejel","90213","Seinlongagyi","9021301","103","805","Mon-ton",9021301006,"10","10",68,68,NA,"Mon-ton",97.5663552,24.2659997,78,78,0.0144,0.0091,6.01,7.96,1.28,21,"DRD","Kachin State"
