"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Loi-weng","10020401","43","205","Ho-hta",10020401003,"4","4",23,23,NA,"Ho-hta",97.4851814,19.130652,29,29,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Loi-weng","10020401","43","205","Loi-weng",10020401001,"5","5",21,21,NA,"Loi-weng",97.4668344,19.1314383,26,26,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Nam-ma-lin","10020403","13","75","Namlin",10020403001,"13","13",75,75,NA,"Namlin",97.4534673,19.1798394,94,94,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Wan-lwal","10020402","66","325","Wan-loi",10020402002,"20","20",114,114,NA,"Wan-loi",97.5064988,19.2696522,143,143,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Loi-weng","10020401","43","205","Wan-pha-gyi",10020401002,"34","34",161,161,NA,"Wan-pha-gyi",97.4353825,19.1528431,202,202,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Yuarthet","100204","Wan-lwal","10020402","66","325","wanpla",10020402001,"46","46",211,211,NA,"wanpla",97.4892002,19.0442465,264,264,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Bu-hku","10020104","34","279","Bu-hku",10020104001,"34","34",279,279,NA,"Bu-hku",97.2417365,19.2396564,350,350,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Kyi-kual","10020102","120","987","Chi-koi",10020102002,"67","67",505,505,NA,"Chi-koi",97.3531007,19.0149269,633,633,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Nan-phe`","10020105","132","1114","Dawse`-hku",10020105003,"40","40",397,397,NA,"Dawse`-hku",97.2251246,19.1292771,497,497,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Saw-lon","10020103","53","384","Hawh-kam",10020103001,"14","14",97,97,NA,"Hawh-kam",97.411209,19.2133108,122,122,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Saw-lon","10020103","53","384","Loi-waing",10020103003,"18","18",132,132,NA,"Loi-waing",97.4246497,19.2194935,165,165,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Baw-la-keal","10020101","130","951","Mong- Htang",10020101001,"22","22",157,157,NA,"Mong- Htang",97.3581348,19.1253017,197,197,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Nan-phe`","10020105","132","1114","Nam-hpe`",10020105001,"57","57",454,454,NA,"Nam-hpe`",97.2432048,19.1671477,569,569,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
"Kayah","10","Baw-la-keal","1002","Baw-la-keal","100201","Kyi-kual","10020102","120","987","Nan-nauak",10020102001,"20","20",261,261,NA,"Nan-nauak",97.3608066,19.0595498,327,327,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Kayah State"
