"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"BAGO","3","Taungoo","0","Taungoo","30205","Nagamauk","0","0","0","Tonbo",0,"0","0",0,400,NA,"Tonbo",96.61435591,18.91045554,464,464,0.0098,0.01,5.18,5.25,1,19,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Yetagun","11010245","342","2251","Yetagun",11010245001,"0","0",0,0,NA,"Yetagun",97.694661,17.778129,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Kamawlechaung","11010247","0","0","Kamawlechaung",11010247001,"0","0",0,0,NA,"Kamawlechaung",97.735525,17.35249,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Kwile","11010248","0","0","Kwile",11010248001,"0","0",0,0,NA,"Kwile",97.824222,17.299694,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Methamu","11010249","0","0","Methamu",11010249001,"0","0",0,0,NA,"Methamu",97.859173,17.293464,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Tale","11010250","0","0","Tale",11010250001,"0","0",0,0,NA,"Tale",98.184711,17.16327,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hlaingbwe","110102","Thamo","11010251","0","0","Thamo",11010251001,"0","0",0,0,NA,"Thamo",98.021783,17.133176,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hpapon","110103","Kaukpok","11010315","0","0","Kaukpok",11010315001,"0","0",0,0,NA,"Kaukpok",97.491352,18.097931,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hpapon","110103","Panhaik","11010316","0","0","Panhaik",11010316001,"0","0",0,0,NA,"Panhaik",97.50264,18.189345,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
"Kayin","11","Hpaan","1101","Hpapon","110103","Thwado","11010317","0","0","Thwado",11010317001,"0","0",0,0,NA,"Thwado",97.601412,18.109017,0,0,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Kayin State"
