"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Pegu(west)","4","Pyay","0","Pyay","40101","Zalon","0","0","0","Zalon",0,"0","0",0,312,NA,"Zalon",95.150037,18.931846,362,362,0.0098,0.01,5.18,5.25,1,19,"DRD","Magway Region"
"Sagaing","0","Sagaing","0","Myaung","0","Shwebangyun","0","211","1055","Shwebangyun",0,"202","246",1725,1725,NA,"Shwebangyun",95.19818,21.766669,2056,2056,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Magway Region"
"Sagaing","0","Monywa","0","Pale","0","Taungywathit","0","244","1508","Nyaungpinwin",0,"0","0",0,0,NA,"Nyaungpinwin",94.685756,21.861439,0,0,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Magway Region"
"Sagaing","0","Monywa","0","Pale","0","Panywa","0","437","2668","Augyin",0,"131","0",707,707,NA,"Augyin",94.79378,21.8456,843,843,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Ngamegan","20302010","490","2506","Aungnithar",2030201004,"180","180",900,900,NA,"Aungnithar",95.212184,19.001316,1079,1079,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kayinmasan","20302011","166","1236","Kayinmasan",2030201101,"54","62",385,385,NA,"Kayinmasan",95.685523,19.444484,462,462,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kayinmasan","20302011","166","1236","Kadinyatha",2030201102,"49","58",387,387,NA,"Kadinyatha",95.705813,19.464915,464,464,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kayinmasan","20302011","166","1236","Dabalaing",2030201103,"63","69",491,491,NA,"Dabalaing",95.67999,19.463922,589,589,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kywethe","20302012","435","2175","Kywethe(chaungsu)",2030201202,"166","166",560,560,NA,"Kywethe(chaungsu)",95.204523,18.967456,671,671,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kywethe","20302012","435","2175","Kywethe(Payakon)",2030201203,"44","44",250,250,NA,"Kywethe(Payakon)",95.251707,19.032157,300,300,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kywethe","20302012","435","2175","Kywethe(Ywama)",2030201201,"115","115",535,535,NA,"Kywethe(Ywama)",95.248477,19.031306,641,641,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kywethe","20302012","435","2175","Htain Inn",2030201204,"110","110",830,830,NA,"Htain Inn",95.263974,19.008604,995,995,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kyathe","20302013","210","1007","Kyathe",2030201301,"108","119",512,512,NA,"Kyathe",95.428848,19.300042,614,614,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kyathe","20302013","210","1007","Aleywa",2030201302,"102","186",495,495,NA,"Aleywa",95.441618,19.291954,593,593,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kyauk_o","20302014","438","91","Kanthayar",2030201402,"65","65",325,325,NA,"Kanthayar",95.686375,19.211362,390,390,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kyauk_o","20302014","438","91","Kyauk_o",2030201401,"26","26",113,113,NA,"Kyauk_o",95.662538,19.253786,135,135,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kyauk_o(sourth)","20302015","150","700","Kyauk_o(sourth)",2030201501,"150","152",700,700,NA,"Kyauk_o(sourth)",95.159051,18.952394,839,839,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kokchaung","20302016","147","489","Kokchaung",2030201601,"18","18",92,92,NA,"Kokchaung",95.713402,19.228773,110,110,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kokchaung","20302016","147","489","Kathitsan",2030201602,"63","63",319,319,NA,"Kathitsan",95.726718,19.239754,382,382,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kokchaung","20302016","147","489","Ngaphae Aing",2030201603,"12","12",49,49,NA,"Ngaphae Aing",95.6585,19.181815,59,59,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kokchaung","20302016","147","489","Taungtha",2030201604,"28","28",96,96,NA,"Taungtha",95.721578,19.241389,115,115,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
"Magway","2","Thayet","203","Aunglan","20302","Kokchaung","20302016","147","489","Nepadaung",2030201605,"26","26",133,133,NA,"Nepadaung",95.653828,19.243258,159,159,0.011,0.0122,5.48,6.67,1,19,"DRD","Magway Region"
