"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","207","871","Alaung",0,"207","301",871,871,NA,"Alaung",96.022754,21.934628,1038,1038,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","200","1071","Myedaing",0,"50","64",284,284,NA,"Myedaing",96.01906,21.948315,338,338,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","511","2862","Kindaw",0,"130","150",741,741,NA,"Kindaw",95.713695,21.929294,883,883,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","689","2370","Myittha",0,"50","58",233,233,NA,"Myittha",95.689269,21.921251,278,278,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","758","4183","Mingon",0,"214","243",1327,1327,NA,"Mingon",96.022463,22.042284,1581,1581,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","758","4183","Thebyugyaung",0,"229","242",885,885,NA,"Thebyugyaung",96.022855,22.037708,1055,1055,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","259","1240","Kinywa",0,"143","162",688,688,NA,"Kinywa",96.019163,22.066261,820,820,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","259","1240","Shayaung",0,"80","94",382,382,NA,"Shayaung",96.021837,22.053453,455,455,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","264","1336","Letpan",0,"264","281",1336,1336,NA,"Letpan",96.014608,21.998702,1592,1592,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","176","845","Singaing",0,"103","119",482,482,NA,"Singaing",95.993594,22.185402,574,574,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","176","845","Okpo",0,"73","84",363,363,NA,"Okpo",95.997236,22.163861,433,433,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","229","1142","Chaung_u",0,"49","54",266,266,NA,"Chaung_u",95.997374,22.153856,317,317,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","471","2251","Tonbo",0,"283","299",1370,1370,NA,"Tonbo",95.998096,22.104044,1633,1633,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Sagaing","0","","0","471","2251","Katheta",0,"39","82",171,171,NA,"Katheta",95.997512,22.11149,204,204,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Myinmu","0","Kyweyaik_ywathit","0","555","3046","Letkopin",0,"255","0",1478,1478,NA,"Letkopin",95.491011,21.878272,1761,1761,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Myinmu","0","Kyweyaik_ywathit","0","555","3046","Ohnmin",0,"55","0",306,306,NA,"Ohnmin",95.498151,21.885326,365,365,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Myinmu","0","Kyweyaik_ywathit","0","555","3046","Thayabaung",0,"110","0",563,563,NA,"Thayabaung",95.49371,21.880971,671,671,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Sagaing","0","Myaung","0","Mayogon","0","516","4347","Kyigon",0,"106","572",936,936,NA,"Kyigon",95.451759,21.821416,1116,1116,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwebo","0","Kantbalu","0","Mezataw","0","190","1075","Hmantha",0,"70","0",225,225,NA,"Hmantha",95.973797,22.900829,268,268,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwebo","0","Shwebo","0","","0","1417","5421","Yedaw",0,"1327","1357",4771,4771,NA,"Yedaw",95.94661,22.604898,5686,5686,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwebo","0","Shwebo","0","","0","1417","5421","Ma_u",0,"90","105",650,650,NA,"Ma_u",95.907863,22.676987,775,775,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwe Bo","0","Wetlet","0","Thitsein","0","415","2413","Kugyi",0,"104","110",555,555,NA,"Kugyi",95.960614,22.416883,661,661,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwe Bo","0","Wetlet","0","Shagwe","0","434","2688","Shagwe",0,"177","185",1078,1078,NA,"Shagwe",95.963812,22.457125,1285,1285,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwe Bo","0","Wetlet","0","Atet_Tatywa","0","307","2366","Ngaye",0,"42","50",585,585,NA,"Ngaye",95.988233,22.255614,697,697,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwe Bo","0","Wetlet","0","Sheinmaga","0","723","4194","Sheinmaga",0,"578","590",3537,3537,NA,"Sheinmaga",95.982857,22.280188,4215,4215,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Shwe Bo","0","Wetlet","0","Sheinmaga","0","723","4194","Ywathit",0,"145","153",657,657,NA,"Ywathit",95.985622,22.294779,783,783,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Sagaing","0","Kathar","0","Htigyank","0","","0","938","4543","Dingyibya",0,"104","99",497,497,NA,"Dingyibya",96.093558,23.641757,592,592,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Mandalay Region"
"Magway","2","Magway","201","Chauk","20103","Swebaukkan","20103011","484","4829","Htanchaukpin",2010301104,"54","115",589,589,NA,"Htanchaukpin",95.01392,20.682187,706,706,0.011,0.0122,5.48,6.67,1,19,"DRD","Mandalay Region"
"Magway","2","Magway","201","Natmauk","20105","Petthandaung","20105062","432","1505","Pingyaing",2010506202,"75","75",469,469,NA,"Pingyaing",95.39039,20.705416,562,562,0.011,0.0122,5.48,6.67,1,19,"DRD","Mandalay Region"
"Magway","2","Magway","201","Yaenanchaung","20102","Ashekon","20102029","618","3396","Sinbinywathit",2010202903,"65","69",412,412,NA,"Sinbinywathit",95.058816,20.576764,494,494,0.011,0.0122,5.48,6.67,1,19,"DRD","Mandalay Region"
"Mandalay","1","Meiktila","0","Meiktila","0"," "," ","0","0"," ",NA,"0","0",0,0,NA," ",95.735066,20.957329,0,0,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","Mandalay","102","Amarapura","10201"," ","10201042","0","0","0-0yetkwet",1020104208,"0","0",553,553,NA,"0-0yetkwet",96.107943,21.872652,658,658,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","NULL","NULL","Pyinoolwin","NULL","Paebin","NULL","367","1611","21 mile",1010101501,"88","NULL",529,529,NA,"21 mile",96.29154751,21.85028579,630,630,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","Makehtila","104","Thazi","10402","Kyatsakan","10402078","335","1728","37 mile",1040207804,"48","58",135,135,NA,"37 mile",96.469178,20.792775,161,161,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","NULL","NULL","Magoke","NULL","Pain-pyit","10103019","6760","NULL","8 mile gawyakha",1010201406,"16","NULL",110,110,NA,"8 mile gawyakha",96.64426152,22.85407453,131,131,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","NULL","NULL","Magoke","NULL","Pain-pyit","10103019","6760","NULL","9 mile gawyakha",1010201407,"36","NULL",253,253,NA,"9 mile gawyakha",96.61504809,22.97967198,301,301,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","Meiktila","104","Meiktila","10401"," ","10401022","0","0","Aing",1040102203,"0","0",436,436,NA,"Aing",95.806537,20.865868,519,519,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
"Mandalay","1","Yamethin","106","Pyawbwe","10601"," ","10601014","0","0","Aing do",1060101402,"0","0",322,322,NA,"Aing do",95.817601,20.641997,383,383,0.012,0.0117,5.27,5.71,1,19,"DRD","Mandalay Region"
