"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"BAGO","3","Bago","0","Shwekyin","30111","Zalokgyi","0","0","0","Zalokgyi(ywathit)",0,"0","0",0,298,NA,"Zalokgyi(ywathit)",96.889071,17.61503,346,346,0.0098,0.01,5.18,5.25,1,19,"DRD","Mon State"
"BAGO","3","Bago","0","Waw","30112","Thabyegan","0","0","0","Kangyiseik",0,"0","0",0,1259,NA,"Kangyiseik",96.875465,17.45183,1461,1461,0.0098,0.01,5.18,5.25,1,19,"DRD","Mon State"
"Kayin","11","Kawkareik","1102","Kawkareik","110201","Kawkbain","11020150","2008","19439","Weelyeik",11020150004,"91","91",499,499,NA,"Weelyeik",97.84923,16.545185,579,579,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Mon State"
"Kayin","11","Hpaan","1101","Hpaan","110101","KawKyaik(Paawn)","11010105","1450","7014","Kawkalwe",11010105007,"120","120",720,720,NA,"Kawkalwe",97.676845,16.590752,836,836,0.0218,0.01,5.69,6.1,1.14,20,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","Kyauklonegyi","0","0","0","A-htetminlaung",13020340003,"0","0",0,163,NA,"A-htetminlaung",97.2019009,17.4367587,199,199,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","Mayankone","0","0","0","A-lelywa",13020311008,"0","0",0,329,NA,"A-lelywa",97.0816951,17.2534762,401,401,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","Youndalinkone","0","0","0","A-nangon",13020307003,"0","0",0,191,NA,"A-nangon",97.1448789,17.1837081,233,233,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","Da-nyin-kone","0","0","0","A-naukpayarseik",13020333003,"0","0",0,237,NA,"A-naukpayarseik",97.2422707,17.2621317,289,289,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","A-su-chaung","0","0","0","A-suchaung",13020349001,"0","0",0,210,NA,"A-suchaung",97.2733734,17.5001225,256,256,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
"Mon","13","Thahton","1302","Belin","130203","A-hone-wa","0","0","0","Ahonwa",13020336001,"0","0",0,333,NA,"Ahonwa",97.2393747,17.2979259,406,406,0.0118,0.0132,5.41,7.08,1,19,"DRD","Mon State"
