"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","AINGGYE","10603001","505","0","Ainggye",0,"273","0",1239,1239,NA,"Ainggye",96.026403,20.098988,1475,1475,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","AINGGYE","10603001","505","0","Seinbanpin",0,"144","0",723,723,NA,"Seinbanpin",96.023951,20.145746,861,861,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","AINGGYE","10603001","505","0","Toattaung",0,"144","0",723,723,NA,"Toattaung",96.026752,20.100345,861,861,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","ALEGYUNE","10603002","360","0","Alegyun",0,"436","0",2293,2293,NA,"Alegyun",96.073292,20.182267,2730,2730,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAW","10603003","461","0","Aungmyay-yeiktha",0,"267","0",4124,4124,NA,"Aungmyay-yeiktha",96.271567,20.147199,4910,4910,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAW","10603003","461","0","Dayaukku",0,"248","0",1433,1433,NA,"Dayaukku",96.267557,20.166232,1706,1706,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAZUNZEIK","10603004","726","0","Pazunzeik",0,"240","0",1229,1229,NA,"Pazunzeik",96.19503,19.992377,1463,1463,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAZUNZEIK","10603004","726","0","Thategon",0,"98","0",402,402,NA,"Thategon",96.203337,19.984499,479,479,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAZUNZEIK","10603004","726","0","Kantha",0,"152","0",769,769,NA,"Kantha",96.219256,19.977872,916,916,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","BAZUNZEIK","10603004","726","0","Thanbayagon",0,"131","0",677,677,NA,"Thanbayagon",96.227132,19.984617,806,806,0.012,0.0117,5.27,5.71,1,19,"DRD","Naypyitaw"
