State,State_Code,District,District_C,Township,Township_C,VillageTra,VT_Code,VT_HH,VT_Pop,Village,Village_Co,Village_HH,Village_Fa,Village_Po,Pop_2001,Pop_2013,Name,Longitude,Latitude,Population,Pop_2011,pop_g_u,pop_g_r,ho_size_u,ho_size_r,mg_fl_cl,gr_ml_cm,Source
Kayah,10,Baw-la-keal,1002,Baw-la-keal,100201,Bu-hku,10020104,34,279,Bu-hku,10020104001,34,34,279,279,,Bu-hku,97.2417365,19.2396564,350,350,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Baw-la-keal,1002,Baw-la-keal,100201,Nan-phe`,10020105,132,1114,Nam-hpe`,10020105001,57,57,454,454,,Nam-hpe`,97.2432048,19.1671477,569,569,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Ngwedaung,10010212,528,2714,daw-ngan-york,10010212004,121,128,621,621,,daw-ngan-york,97.1780135,19.5587068,778,778,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,sanpya6-mile,10010213,407,2098,dawbunganye,10010213005,73,78,374,374,,dawbunganye,97.2102423,19.6212006,469,469,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Ngwedaung,10010212,528,2714,dawgl0hku,10010212006,60,65,318,318,,dawgl0hku,97.1973046,19.5961337,398,398,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Dawpu-ku,10010205,196,1026,Dawglaw-li,10010205004,19,23,102,102,,Dawglaw-li,97.1206394,19.6346749,128,128,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Dawpu-ku,10010205,196,1026,Dawhkawhku,10010205005,22,26,116,116,,Dawhkawhku,97.1252959,19.6297497,145,145,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Ngwedaung,10010212,528,2714,dawhpu,10010212002,57,63,294,294,,dawhpu,97.1958029,19.5674859,368,368,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Dawpu-ku,10010205,196,1026,Dawlya-li,10010205002,20,23,105,105,,Dawlya-li,97.1156508,19.6440641,132,132,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Di-maw-hso,10010207,515,2645,dawngan-kha,10010207004,88,94,452,452,,dawngan-kha,97.1500009,19.551709,566,566,0.0157,0.0151,5.5,5.88,1.14,20,DRD
Kayah,10,Loikaw,1001,Demoso,100102,Dawpu-ku,10010205,196,1026,Dawpi-ta,10010205003,16,19,87,87,,Dawpi-ta,97.1145501,19.6468534,109,109,0.0157,0.0151,5.5,5.88,1.14,20,DRD
