"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kandake",0,"0","0",0,500,NA,"Kandi",94.01574146,19.80066093,581,581,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kandakewa",0,"0","0",0,850,NA,"Kandiwa",94.01925916,19.84575156,987,987,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Htaminhtoke",0,"0","0",0,125,NA,"Tamintauk",94.02437583,19.81185364,145,145,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Melaungchaung",0,"0","0",0,450,NA,"Melaungchaung",93.97208988,19.78019425,523,523,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Dinegyi/kalay",0,"0","0",0,525,NA,"Daing",94.02113794,19.7686018,610,610,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Suepokepyintaw",0,"0","0",0,250,NA,"Subokpyindaw",94.04000569,19.78315239,290,290,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Inkone",0,"0","0",0,1000,NA,"Ingon",94.0119839,19.77451795,1162,1162,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Ginkone",0,"0","0",0,400,NA,"Gyingon",94.01222375,19.77012081,465,465,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kyaungphyukwin",0,"0","0",0,300,NA,"Kyaungpyukwin",94.14181935,19.89092215,349,349,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Sinepaung",0,"0","0",0,350,NA,"Saingbaung",94.06982624,19.79226641,407,407,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kyut",0,"0","0",0,475,NA,"Kutywa",93.90937072,19.77603696,552,552,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Sangyi",0,"0","0",0,500,NA,"Sakangyi",94.21349268,19.93161565,581,581,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Sindoe",0,"0","0",0,530,NA,"Sindo",94.0264145,19.75301195,616,616,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kywetalin",0,"0","0",0,355,NA,"Kywetalin",94.02737388,19.75301195,412,412,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","(North)","0","0","0","Kyeinchaung",0,"0","0",0,275,NA,"Kyeinchaung",93.98084418,19.92601929,319,319,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Outywa","0","0","0","Outywa",0,"0","0",0,1000,NA,"Aukywa",94.0384067,19.76052706,1162,1162,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Outywa","0","0","0","Linkhonphar",0,"0","0",0,500,NA,"Linkonwa",94.06670827,19.68705491,581,581,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Outywa","0","0","0","Kyamaung",0,"0","0",0,475,NA,"Sinnamaung",94.04528222,19.73902107,552,552,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Outywa","0","0","0","Minzal",0,"0","0",0,100,NA,"Minse",94.04080513,19.75173279,116,116,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Outywa","0","0","0","Nutsinkone",0,"0","0",0,300,NA,"Natsingon",94.05399654,19.77699634,349,349,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Pyintaw",0,"0","0",0,740,NA,"Pyindaw",94.05015904,19.77851535,860,860,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Ngapye",0,"0","0",0,70,NA,"Ngapyet",94.17687652,19.87301381,81,81,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Putkwe",0,"0","0",0,390,NA,"Patkwe",94.11659578,19.8386362,453,453,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Sinkhontine",0,"0","0",0,70,NA,"Sinkhondaing",94.14441766,19.86270053,81,81,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Kamyinkan",0,"0","0",0,80,NA,"Kamyingan",94.24057504,19.86783718,93,93,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Ponna",0,"0","0",0,650,NA,"Ponna",94.03892636,19.81441197,755,755,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Ann(South)","0","0","0","Ponna",0,"0","0",0,650,NA,"Ponnawa",94.07046582,19.85958256,755,755,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Gaylaung",0,"0","0",0,100,NA,"Gelaung",94.00434887,19.67626193,116,116,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Pyutkywan",0,"0","0",0,325,NA,"Pyakkyun",94.00434887,19.68665517,378,378,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Kyaungkone",0,"0","0",0,75,NA,"Kyaunggon",93.97388871,19.68385699,87,87,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Kwanchaung",0,"0","0",0,160,NA,"Yutchaung",93.94422802,19.70936038,186,186,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Pandonewa",0,"0","0",0,280,NA,"Padonwa",94.00410903,19.65955281,325,325,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Gaylaung","0","0","0","Nyaungchaung",0,"0","0",0,145,NA,"Nyaungchaung",94.01746034,19.67346376,168,168,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Hmwa",0,"0","0",0,100,NA,"Hmwa-ywa",94.0324106,19.48334756,116,116,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Nyaungchaung",0,"0","0",0,550,NA,"Nyaungchaung",94.00786658,19.67146506,639,639,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Raymatein",0,"0","0",0,450,NA,"Ahyethauk",94.03456919,19.50133585,523,523,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Madekyaw",0,"0","0",0,175,NA,"Padagyaw",94.03416945,19.51588637,203,203,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Awthet",0,"0","0",0,225,NA,"Aw-thet",94.03920618,19.5109296,261,261,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Chyaukchyon",0,"0","0",0,70,NA,"Shaukchon",94.01162414,19.47335407,81,81,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Raytwinkyine",0,"0","0",0,1300,NA,"Yetwinkyaing",94.01630109,19.48078922,1510,1510,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Hmwa","0","0","0","Mayzalekine",0,"0","0",0,600,NA,"Mezaligaing",94.01022505,19.48438688,697,697,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nyaungchaung","0","0","0","Ngarokekhin",0,"0","0",0,250,NA,"Ngayokkhin",93.815272,19.58696009,290,290,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nyaungchaung","0","0","0","Nyaungchaung",0,"0","0",0,340,NA,"Nyaungchaung",93.81103476,19.59119733,395,395,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nwarrontaung","0","0","0","Nwarrontaung",0,"0","0",0,775,NA,"Nwayondaung",94.02249706,19.53579341,900,900,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nwarrontaung","0","0","0","Awapyin",0,"0","0",0,250,NA,"Awabyin",93.9517831,19.49805798,290,290,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nwarrontaung","0","0","0","Myaukkite",0,"0","0",0,345,NA,"Myaukkaik",93.95450133,19.46336057,401,401,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
"Rakhine","14","Kyaukphyu","0","Ann","0","Nwarrontaung","0","0","0","Kyauktaung",0,"0","0",0,100,NA,"Kyauktaung",93.97304926,19.47567256,116,116,0.0106,0.01,5.85,6.2,1.14,20,"DRD","Rakhine State"
