"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Shan (North)","15","kyaukme","1503","Mabaine","150311","moelone","","321","1733","Yayle`",15031111002,"98","",411,411,NA,"Yayle`",96.5128832,23.7620144,454,454,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Sagaing Region"
"Chin","12","Pha Lam","1201","Tee Tain","120105","Tangzang","12010525","152","1027","Khaikam",12010525002,"37","43",294,294,NA,"Khaikam",93.956597,23.218846,330,330,0.0117,0.0077,5.29,6.34,1.28,21,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","357","0","Kado",0,"95","97",483,483,NA,"Kado",95.105128,22.524454,576,576,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","357","0","Wundon",0,"82","83",417,417,NA,"Wundon",95.122038,22.507363,497,497,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","357","0","Aungchantha",0,"93","95",473,473,NA,"Aungchantha",95.124583,22.531,564,564,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","357","0","Indaing (N)",0,"87","89",443,443,NA,"Indaing (N)",95.099715,22.510864,528,528,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","572","2822","Kudaw",0,"372","373",1835,1835,NA,"Kudaw",95.074218,22.529727,2187,2187,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","572","2822","Ywamun",0,"200","201",987,987,NA,"Ywamun",95.080582,22.539727,1176,1176,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","426","3093","Kyogon",0,"226","234",1640,1640,NA,"Kyogon",95.180584,22.451362,1955,1955,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","426","3093","Pebyittaw (E)",0,"110","114",798,798,NA,"Pebyittaw (E)",95.185766,22.431361,951,951,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","426","3093","Pebyittaw (W)",0,"110","114",798,798,NA,"Pebyittaw (W)",95.178493,22.426725,951,951,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","326","1689","Kungyan",0,"112","116",580,580,NA,"Kungyan",95.050582,22.25954,691,691,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","326","1689","Salun",0,"84","87",435,435,NA,"Salun",95.050763,22.262631,518,518,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","326","1689","Nondan",0,"70","71",362,362,NA,"Nondan",95.047673,22.265176,431,431,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","326","1689","Yontha",0,"60","62",312,312,NA,"Yontha",95.078037,22.262449,372,372,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","334","2070","Kinzan",0,"334","414",2070,2070,NA,"Kinzan",95.157675,22.518454,2467,2467,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","186","1087","Kyaungywa",0,"75","88",438,438,NA,"Kyaungywa",95.114583,22.48009,522,522,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","186","1087","Ngapyawyedin",0,"50","58",292,292,NA,"Ngapyawyedin",95.099128,22.487362,348,348,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","186","1087","Konywa",0,"97","119",599,599,NA,"Konywa",95.096604,22.498577,714,714,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","247","1526","Kanzwe",0,"97","119",599,599,NA,"Kanzwe",95.095658,22.283976,714,714,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","247","1526","Kyizu",0,"46","57",284,284,NA,"Kyizu",95.077362,22.296173,338,338,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","247","1526","Hnawbinyo",0,"53","66",328,328,NA,"Hnawbinyo",95.098707,22.280086,391,391,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","247","1526","Magyi-ok",0,"51","63",315,315,NA,"Magyi-ok",95.089425,22.291453,375,375,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","286","1545","Kanthitywama",0,"117","126",632,632,NA,"Kanthitywama",95.132458,22.313732,753,753,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","286","1545","Kanthit (E)",0,"86","93",465,465,NA,"Kanthit (E)",95.134351,22.31594,554,554,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","286","1545","Kanthit (W)",0,"83","90",448,448,NA,"Kanthit (W)",95.128463,22.31226,534,534,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Zidaw",0,"57","60",360,360,NA,"Zidaw",95.208688,22.308896,429,429,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Seiklu-aing",0,"82","86",518,518,NA,"Seiklu-aing",95.198384,22.31163,617,617,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Aungtha",0,"68","71",431,431,NA,"Aungtha",95.19523,22.302797,514,514,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Kontha",0,"113","142",714,714,NA,"Kontha",95.208373,22.319621,851,851,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Mondu",0,"82","103",518,518,NA,"Mondu",95.235185,22.324457,617,617,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","45","2813","Tugyi",0,"43","45",272,272,NA,"Tugyi",95.240442,22.316571,324,324,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","179","984","Kyibingyaung",0,"77","84",423,423,NA,"Kyibingyaung",95.12268,22.354213,504,504,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
"Sagaing","0","Monywa","0","Butalin","0","","0","179","984","Thayogon",0,"102","112",561,561,NA,"Thayogon",95.126991,22.359365,669,669,0.0124,0.0118,5.41,6.51,1.14,20,"DRD","Sagaing Region"
