"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Kya-kham-kyauk","17041501","82","406","Nantngot",17041501001,"33","33",160,160,NA,"Nantngot",100.493564,20.8525631,177,177,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Kya-kham-kyauk","17041501","82","406","Nantsee(arkha)",17041501002,"21","21",103,103,NA,"Nantsee(arkha)",100.470988,20.850628,114,114,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Kya-kham-kyauk","17041501","82","406","Kyakhamsaung",17041501003,"16","16",80,80,NA,"Kyakhamsaung",100.568699,20.8381578,88,88,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Kya-kham-kyauk","17041501","82","406","Kyabokham",17041501004,"12","12",63,63,NA,"Kyabokham",100.557445,20.8401349,70,70,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","Nantsee(lahu)",17041502001,"51","51",233,233,NA,"Nantsee(lahu)",100.453523,20.8488613,257,257,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","Nantone",17041502002,"63","63",262,262,NA,"Nantone",100.444294,20.8451201,289,289,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","Nantpyan",17041502003,"72","72",376,376,NA,"Nantpyan",100.387429,20.8373883,415,415,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","Wanlan",17041502004,"53","53",225,225,NA,"Wanlan",100.364607,20.8351436,248,248,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","WanPong",17041502005,"22","22",100,100,NA,"WanPong",100.335551,20.8330236,110,110,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
"Shan (East)","17","Tachileik","1704","Kyainglat","170415","Mongpashol","17041502","438","1867","NamKai",17041502006,"75","75",171,171,NA,"NamKai",100.333431,20.8236707,189,189,0.0114,0.0066,5.2,5.44,1.14,20,"DRD","Shan State (East)"
