"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Mo_hwe","15041701","","","Kawngtup",15041701004,"10","",38,38,NA,"Kawngtup",98.6848041,23.4264808,42,42,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041703","","","Nawng_on",15041703002,"11","",43,43,NA,"Nawng_on",98.7908463,23.4318854,47,47,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pangkaw","15041703","","","Pang long",15041703004,"57","",330,330,NA,"Pang long",98.7868705,23.2488741,364,364,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pangkaw","15041705","","","Pangkawp(sonetun)",15041705005,"75","",389,389,NA,"Pangkawp(sonetun)",98.8122162,23.3457844,429,429,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pang Long","15041716","","","Shwewa",15041716001,"388","",2274,2274,NA,"Shwewa",98.7568317,23.4368734,2509,2509,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Mo_hwe","15041701","","","Mo_hwe",15041701001,"96","",525,525,NA,"Mo_hwe",98.7258046,23.4204549,579,579,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Mo_hwe","15041701","","","Henna",15041701002,"70","",419,419,NA,"Henna",98.7372351,23.4277853,462,462,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Mo_hwe","15041701","","","Nawnghi",15041701003,"33","",161,161,NA,"Nawnghi",98.7031922,23.4207034,178,178,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Hpathar","15041702","","","Hpathar",15041702001,"39","",195,195,NA,"Hpathar",98.7272334,23.3946743,215,215,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Hpathar","15041702","","","Hpahka",15041702002,"46","",230,230,NA,"Hpahka",98.7386017,23.3828712,254,254,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041703","","","Nawngmong",15041703001,"29","",136,136,NA,"Nawngmong",98.7819007,23.4167276,150,150,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041703","","","Kawngkaw",15041703003,"26","",96,96,NA,"Kawngkaw",98.801407,23.4234368,106,106,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Nawng_on","15041704","","","Harpyet",15041704001,"61","",274,274,NA,"Harpyet",98.7085968,23.3804484,302,302,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Nawng_on","15041704","","","Namput",15041704002,"57","",270,270,NA,"Namput",98.7327002,23.3747332,298,298,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Nawng_on","15041704","","","Hsopkun",15041704003,"85","",408,408,NA,"Hsopkun",98.7154303,23.3541087,450,450,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Nawng_on","15041704","","","Hpartwe",15041704004,"21","",88,88,NA,"Hpartwe",98.6913891,23.4183428,97,97,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041704","","","Namakaw",15041704005,"30","",109,109,NA,"Namakaw",98.6814496,23.4057942,120,120,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041704","","","Hutlon",15041704006,"11","",51,51,NA,"Hutlon",98.6897739,23.3980289,56,56,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Harpyet","15041705","","","Pangkaw",15041705001,"17","",65,65,NA,"Pangkaw",98.6989058,23.3932455,72,72,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pangkaw","15041703","","","Pangkawp(tayoke)",15041705002,"19","",58,58,NA,"Pangkawp(tayoke)",98.8242679,23.3467783,64,64,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pangkaw","15041705","","","Pangkawp(loila)",15041705003,"29","",155,155,NA,"Pangkawp(loila)",98.8063768,23.3360933,171,171,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","Pangkaw","15041705","","","Pangkawp(lishaw)",15041705004,"32","",160,160,NA,"Pangkawp(lishaw)",98.8021525,23.3319933,177,177,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
"Shan (North)","15","Kunlong","1504","Ho Pan","150417","A-ku-chai","15041706","","","A-ku-chai",15041706001,"12","",89,89,NA,"A-ku-chai",98.8073707,23.2721078,98,98,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (North)"
