"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Kayah","10","Loikaw","1001","Hpruso","100103","Rohtakho","10010312","352","1888","Yado",10010312001,"31","35",162,162,NA,"Yado",96.8383538,19.3249869,203,203,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Shan State (South)"
"Kayah","10","Loikaw","1001","Loikaw","100101","Kong-thar","10010110","625","3807","Saung-kang",10010110003,"","",173,173,NA,"Saung-kang",97.1484568,19.7676848,217,217,0.0157,0.0151,5.5,5.88,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Kyaukme","1503","Hsipaw","150306","manpan","15030653","44","759","Man pen kang",15030653001,"0","19",451,451,NA,"Man pen kang",97.8787595,22.0196612,498,498,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Kyaukme","1503","Hsipaw","150306","pyainenyung","15030654","138","731","Man_loi",15030654007,"0","0",0,0,NA,"Man_loi",97.5793106,22.0129983,0,0,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Kyaukme","1503","Hsipaw","150306","pantone","15030660","154","1525","Namhu",15030660012,"0","34",266,266,NA,"Namhu",97.8965055,22.0461221,294,294,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Kyaukme","1503","Kyaukme","150306","Loisar","","183","1107","Hukot",15030529001,"15","",180,180,NA,"Hukot",97.1238433,22.2201252,199,199,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Nawng Wit",15010424013,"13","",107,107,NA,"Nawng Wit",98.1885941,22.0631804,118,118,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Man Hkong",15010424014,"10","",50,50,NA,"Man Hkong",98.1043159,22.068606,55,55,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Man mong",15010424015,"25","",65,65,NA,"Man mong",98.1154083,22.0995924,72,72,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Makkeng",15010424016,"12","",68,68,NA,"Makkeng",98.0953937,22.0809041,75,75,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Kungpao",15010424017,"12","",50,50,NA,"Kungpao",98.2012539,22.0775281,55,55,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Nam Ta",15010424018,"19","",94,94,NA,"Nam Ta",98.2430916,22.0060303,104,104,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Nam Nwe",15010424019,"10","",47,47,NA,"Nam Nwe",98.1589339,22.0604073,52,52,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Kun Kyawng",15010424020,"22","",80,80,NA,"Kun Kyawng",98.2194599,22.0026544,88,88,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Shan (North)","15","Lashio","1501","Mongyai","150104","Man Kyu","15010424","415","2039","Nam Hok",15010424021,"14","",64,64,NA,"Nam Hok",98.1943814,22.0646272,71,71,0.0114,0.0066,5.59,6.98,1.14,20,"DRD","Shan State (South)"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","KAUNGGON","10603014","90","0","Kyaunggon",0,"115","0",506,506,NA,"Kyaunggon",96.492497,20.181301,602,602,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","KYAUTPHAR","10603021","1076","0","Kyaukphya",0,"379","0",1923,1923,NA,"Kyaukphya",96.389897,20.013621,2290,2290,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Nyapitaw","1","Naypyitaw","106","Tatkon","10603","KYAUTPHAR","10603021","1076","0","Ywathit",0,"241","0",1179,1179,NA,"Ywathit",96.393732,20.014191,1404,1404,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Mandalay","1","NULL","NULL","Yamethin","NULL","NULL","10602021","NULL","NULL","Bwet",1060202102,"NULL","NULL",193,193,NA,"Bwet",96.47117565,20.44824442,230,230,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Mandalay","1","Kyaukse","103","Kyaukse","10301","NULL","NULL","109","537","Kin",1030107501,"109","NULL",537,537,NA,"Kin",96.32818822,21.47063237,639,639,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Mandalay","1","Kyaukse","103","Myitthar","10303"," ","10303058","0","0","Kinle",1030305801,"0","0",114,114,NA,"Kinle",96.333422,21.252803,136,136,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Mandalay","1","NULL","NULL","Yamethin","NULL","NULL","10602021","NULL","NULL","Thekkegyin",1060202105,"NULL","NULL",162,162,NA,"Thekkegyin",96.49792683,20.47360097,193,193,0.012,0.0117,5.27,5.71,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Naung All","16011401","105","516","Naung All",16011401001,"23","25",116,116,NA,"Naung All",98.4045464,19.9322625,128,128,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Naung All","16011401","105","516","Long Main",16011401002,"21","21",70,70,NA,"Long Main",98.421279,19.9162905,77,77,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Naung All","16011401","105","516","Laung Hpat Pi",16011401003,"10","10",30,30,NA,"Laung Hpat Pi",98.4282193,19.9122024,33,33,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Hko Long","16011402","172","835","Hko Long",16011402001,"","",NA,NA,NA,"Hko Long",97.9933993,19.9113092,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Hko Long","16011402","172","835","Ma Moe Yan",16011402002,"","",NA,NA,NA,"Ma Moe Yan",97.9245416,19.8596033,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Hko Long","16011402","172","835","Hway Long",16011402003,"","",NA,NA,NA,"Hway Long",97.9787794,19.8882184,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Hko Long","16011402","172","835","Khite Long",16011402004,"","",NA,NA,NA,"Khite Long",97.9590123,19.8418659,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Mai All","16011403","212","880","Nar Mon Long",16011403001,"","",NA,NA,NA,"Nar Mon Long",98.0216786,19.7489959,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Mai All","16011403","212","880","Mai All",16011403002,"","",NA,NA,NA,"Mai All",97.908896,19.8594359,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Ho Main","16011404","","","Ho Main",16011404001,"","",NA,NA,NA,"Ho Main",97.9835659,19.7585008,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Ho Main","160114","Ho Main","16011404","","","Wam Mai Look Lay",16011404002,"","",NA,NA,NA,"Wam Mai Look Lay",97.9519843,19.8152599,0,0,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Lone Tan",16011001001,"17","24",85,85,NA,"Lone Tan",97.1896869,20.7715946,94,94,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Twun Tee",16011001002,"1272","66",9411,9411,NA,"Twun Tee",97.1594782,20.7572304,10385,10385,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Nan Kin",16011001003,"22","34",165,165,NA,"Nan Kin",97.1791604,20.6890827,182,182,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Hare Lon",16011001004,"30","46",213,213,NA,"Hare Lon",97.1969786,20.7194559,235,235,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Pa Lai Tint",16011001005,"21","38",165,165,NA,"Pa Lai Tint",97.1901803,20.7516383,182,182,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Naung Hpa Pone",16011001006,"26","33",170,170,NA,"Naung Hpa Pone",97.1876583,20.7298727,188,188,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Lwe Lon",16011001007,"18","31",148,148,NA,"Lwe Lon",97.2444024,20.7547633,163,163,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Poung Lin","16011001","1272","9411","Don May Kho",16011001008,"80","65",366,366,NA,"Don May Kho",97.2218144,20.7555857,404,404,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Lwe Honk","16011002","1297","5361","Naung Taung",16011002001,"36","51",263,263,NA,"Naung Taung",97.1685243,20.8300382,290,290,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Lwe Honk","16011002","1297","5361","Kan Taung",16011002002,"53","65",385,385,NA,"Kan Taung",97.1577238,20.7956629,425,425,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
"Shan (South)","16","Taunggyi","1601","Hopong","160110","Lwe Honk","16011002","1297","5361","Sa Khwee",16011002003,"110","150",1350,1350,NA,"Sa Khwee",97.1390284,20.850817,1490,1490,0.0114,0.0066,5.46,6.05,1,19,"DRD","Shan State (South)"
