"State","State_Code","District","District_C","Township","Township_C","VillageTra","VT_Code","VT_HH","VT_Pop","Village","Village_Co","Village_HH","Village_Fa","Village_Po","Pop_2001","Pop_2013","Name","Longitude","Latitude","Population","Pop_2011","pop_g_u","pop_g_r","ho_size_u","ho_size_r","mg_fl_cl","gr_ml_cm","Source","State_GIS"
"Ayeyarwady","0","Magubin","0","Danubyu","0","Thebyu","0","383","2956","Thanbayagon",0,"34","34",332,332,NA,"Thanbayagon",95.667752,17.357736,383,383,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Wedauk","0","214","1132","Kyonyin",0,"89","102",475,475,NA,"Kyonyin",95.845798,16.568662,549,549,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Lakyagyi","0","1552","10120","Pyopankyat",0,"65","65",409,409,NA,"Pyopankyat",95.867483,16.717727,472,472,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Lakyagyi","0","1552","10120","Pyokanpay",0,"122","129",629,629,NA,"Pyokanpay",95.831686,16.686278,726,726,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Lakyagyi","0","1552","10120","Tuchaung",0,"230","241",1596,1596,NA,"Tuchaung",95.838208,16.703596,1843,1843,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Kawetkin","0","1234","8858","Thadapaw",0,"200","202",1500,1500,NA,"Thadapaw",95.870526,16.638596,1732,1732,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Akar","0","556","2948","Bekalaing",0,"141","110",708,708,NA,"Bekalaing",95.879584,16.571205,818,818,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Taungla","0","509","1401","Taungla",0,"20","32",53,53,NA,"Taungla",95.852773,16.848379,61,61,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Taungla","0","509","1401","Podaywa",0,"50","56",118,118,NA,"Podaywa",95.866686,16.870408,136,136,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
"Ayeyarwady","0","Magubin","0","Magubin","0","Kanaung","0","451","2624","Kyonpha",0,"120","124",644,644,NA,"Kyonpha",95.830309,16.617002,744,744,0.0063,0.0096,5.17,5.43,1,19,"DRD","Yangon Region"
