"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
95239161834027,"","0",19,5.43,5.17,1,"Kyangin",20036,19655,NA,0.0096,0.0063,19655,"DRD","Ayeyarwady","0","","0","",0,NA,NA,NA,"","0",NA,NA,95.239167,18.340278,4593,1677.808219,"grid",2855620,170.5135243,29,2571.894306,"0.00417%",1,642166,0.0824027,1,305415.8904,"10.462%",1,3239.756963,2858859.757,399180388.1,0.0654741,1,"Ayeyarwady Region"
95458051764944,"","0",19,5.43,5.17,1,"Hinthada",74943,73518,NA,0.0096,0.0063,73518,"DRD","Ayeyarwady","0","","0","",0,NA,NA,NA,"","0",NA,NA,95.458056,17.649444,17172,6272.876712,"grid",10673020,1916.449803,42,10017.77359,"0.01624%",1,757206,0.0971647,1,342844.5662,"11.744%",1,36412.54626,10709432.55,470837524.2,0.0772274,1,"Ayeyarwady Region"
95194081731565,"Pathein","0",19,5.43,5.17,1,"Ywathit",797,920,NA,0.0096,0.0063,920,"DRD","Ayeyarwady","0","kyonpyaw","0","Ywathit",0,"139","131",797,"Pyinkyaseik","0","518",NA,95.194086,17.315652,229,83.65296804,"grid",142220,1091.953014,69,32560.06931,"0.05277%",1,905740,0.1162246,1,403292.7854,"13.815%",1,20747.10726,162967.1073,563599163.1,0.0924423,1,"Ayeyarwady Region"
95204051730562,"Pathein","0",19,5.43,5.17,1,"Tanhlyetzun-Ywama",782,903,NA,0.0096,0.0063,903,"DRD","Ayeyarwady","0","kyonpyaw","0","Tanhlyetzun-Ywama",0,"143","135",782,"Tanhlyetzun","0","426",NA,95.20405,17.305626,225,82.19178082,"grid",139820,1536.794646,70,34096.86396,"0.05526%",1,905965,0.1162534,1,403376.4384,"13.818%",1,29199.09827,169019.0983,563768182.2,0.09247,1,"Ayeyarwady Region"
95200001730000,"","0",19,5.43,5.17,1,"Kyonpyaw",23749,23298,NA,0.0096,0.0063,23298,"DRD","Ayeyarwady","0","","0","",0,NA,NA,NA,"","0",NA,NA,95.2,17.3,5444,1988.675799,"grid",3383720,759.092199,71,34855.95615,"0.05649%",1,911409,0.116952,1,403458.6301,"13.821%",1,14422.75178,3398142.752,567166324.9,0.0930274,1,"Ayeyarwady Region"
95075451721739,"Pathein","0",19,5.43,5.17,1,"Kungyangon",317,366,NA,0.0096,0.0063,366,"DRD","Ayeyarwady","0","Yegyi","0","Kungyangon",0,"80","80",317,"Daungmadaw","0","67",NA,95.075455,17.21739,93,33.97260274,"grid",58120,95.8944355,94,58345.5936,"0.09457%",1,1005448,0.1290191,1,439765.4795,"15.064%",1,1821.994275,59941.99427,626091155.4,0.1026923,1,"Ayeyarwady Region"
95702651627334,"Pyarpon","0",19,5.43,5.17,1,"Ok-gyikwin",3281,3789,NA,0.0096,0.0063,3789,"DRD","Ayeyarwady","0","Pyarpon","0","Ok-gyikwin",0,NA,NA,3281,"Ok-gyikwin","0",NA,NA,95.702651,16.27334,977,356.8949772,"grid",608520,1809.932521,179,141673.3296,"0.22962%",1,1126746,0.1445841,1,483752.3288,"16.571%",1,34388.7179,642908.7179,703168448.3,0.1153346,1,"Ayeyarwady Region"
94984981697074,"Pathein","0",19,5.43,5.17,1,"Daga",3455,3990,NA,0.0096,0.0063,3990,"DRD","Ayeyarwady","0","kangyidauk","0","Daga",0,NA,NA,3455,"Daga","0",NA,NA,94.984988,16.970747,1012,369.6803653,"grid",629520,1011.478974,208,168966.5396,"0.27386%",1,1143035,0.1466743,1,489689.863,"16.774%",1,19218.1005,648738.1005,713843628.5,0.1170856,1,"Ayeyarwady Region"
95695591667156,"Magubin","0",19,5.43,5.17,1,"Htanbingwe",1200,1386,NA,0.0096,0.0063,1386,"DRD","Ayeyarwady","0","Magubin","0","Htanbingwe",0,"215","200",1200,"Htanbingwe-Ashe","0","711",NA,95.695599,16.671567,344,125.6621005,"grid",213720,1092.639669,307,254353.4784,"0.41225%",1,1225039,0.157197,1,519889.6804,"17.809%",1,20760.15371,234480.1537,766569139.8,0.1257337,1,"Ayeyarwady Region"
95696291666817,"Magubin","0",19,5.43,5.17,1,"Htanbinkwe(Anauk)",936,1081,NA,0.0096,0.0063,1081,"DRD","Ayeyarwady","0","Magubin","0","Htanbinkwe(Anauk)",0,"177","165",936,"Minbaw","0","403",NA,95.696292,16.668177,269,98.26484018,"grid",168720,384.1115873,308,254737.59,"0.41287%",1,1225308,0.1572315,1,520015.3425,"17.813%",1,7298.120158,176018.1202,766745157.9,0.1257626,1,"Ayeyarwady Region"
