"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
96686011777223,"Bago","0",19,5.25,5.18,1,"Pa-aungwe",13137,15246,NA,0.01,0.0098,15246,"DRD","BAGO","3","Daik-u","30107","Pa-aungwe",0,"0","0",0,"Pa-aungwe","0","0","0",96.686013,17.772237,3947,1441.826484,"grid",2453020,1865.816878,61,22649.36265,"0.03671%",1,889234,0.1141065,1,395905.0228,"13.562%",1,35450.52069,2488470.521,553147870.3,0.0907281,1,"Bago Region (East)"
96689661791031,"Bago","0",19,5.25,5.18,1,"Wingaw(n)",737,855,NA,0.01,0.0098,855,"DRD","BAGO","3","Nyaunglaybin","30104","Wingaw(n)",0,"0","0",0,"Aleywa","0","0","0",96.689667,17.91031,223,81.46118721,"grid",138620,1220.236231,134,100237.1773,"0.16246%",1,1041115,0.1335959,1,452747.032,"15.509%",1,23184.4884,161804.4884,649114191.9,0.1064686,1,"Bago Region (East)"
96688461790737,"Bago","0",19,5.25,5.18,1,"Wingabaw",1564,1815,NA,0.01,0.0098,1815,"DRD","BAGO","3","Nyaunglaybin","30104","Wingabaw",0,"0","0",0,"Wingabaw","0","0","0",96.688463,17.907374,470,171.6894977,"grid",294320,350.4434751,135,100587.6207,"0.16303%",1,1041585,0.1336562,1,452828.4932,"15.512%",1,6658.426026,300978.426,649415170.4,0.106518,1,"Bago Region (East)"
96686881790513,"Bago","0",19,5.25,5.18,1,"Gyobin",1603,1860,NA,0.01,0.0098,1860,"DRD","BAGO","3","Nyaunglaybin","30104","Gyobin",0,"0","0",0,"Gyobin","0","0","0",96.686887,17.905131,481,175.7077626,"grid",300920,300.0213676,136,100887.6421,"0.16352%",1,1042066,0.1337179,1,453000.1826,"15.518%",1,5700.405984,306620.406,649721790.8,0.1065683,1,"Bago Region (East)"
96617561821479,"Bago","0",19,5.25,5.18,1,"Zayatkhin",2803,3253,NA,0.01,0.0098,3253,"DRD","BAGO","3","Kyauktaga","30102","Zayatkhin",0,"0","0",0,"Zayatkhin","0","0","0",96.617569,18.214797,839,306.4840183,"grid",523220,1423.693856,149,113006.2584,"0.18316%",1,1050786,0.1348369,1,456054.7945,"15.622%",1,27050.18326,550270.1833,655384573.7,0.1074971,1,"Bago Region (East)"
96523031717471,"Bago","0",19,5.25,5.18,1,"Mokaingyi",2540,2948,NA,0.01,0.0098,2948,"DRD","BAGO","3","Thanatpin","30113","Mokaingyi",0,"0","0",0,"Mokainggyi","0","0","0",96.523034,17.174716,760,277.6255708,"grid",473320,1337.838705,167,126528.5657,"0.20507%",1,1116874,0.1433173,1,480225.3881,"16.450%",1,25418.9354,498738.9354,696731057.6,0.1142788,1,"Bago Region (East)"
96894061769225,"Bago","0",19,5.25,5.18,1,"Nyaungbinta",269,312,NA,0.01,0.0098,312,"DRD","BAGO","3","Shwekyin","30111","Nyaungbinta",0,"0","0",0,"Kwinzeik","0","0","0",96.894062,17.692252,84,30.68493151,"grid",52720,1904.387492,171,131314.3595,"0.21283%",1,1118646,0.1435447,1,481119.6347,"16.481%",1,36183.36235,88903.36235,697926967.6,0.1144749,1,"Bago Region (East)"
96883641769395,"Bago","0",19,5.25,5.18,1,"Setsu",5288,6137,NA,0.01,0.0098,6137,"DRD","BAGO","3","Waw","30112","Setsu",0,"0","0",0,"Thuyetamein","0","0","0",96.883645,17.693958,1591,581.1872146,"grid",989420,1119.714725,172,132434.0742,"0.21465%",1,1120237,0.1437488,1,481150.3196,"16.482%",1,21274.57978,1010694.58,698937662.2,0.1146407,1,"Bago Region (East)"
96685751793402,"Bago","0",19,5.25,5.18,1,"Kya-in-gyi",2282,2648,NA,0.01,0.0098,2648,"DRD","BAGO","3","Nyaunglaybin","30104","Kya-in-gyi",0,"0","0",0,"Kya-in-gyi","0","0","0",96.685752,17.934029,684,249.8630137,"grid",425220,1309.772574,185,148849.4922,"0.24125%",1,1130955,0.1451242,1,485396.895,"16.627%",1,24885.67891,450105.6789,705926615.4,0.115787,1,"Bago Region (East)"
96475551722610,"Bago","0",19,5.25,5.18,1,"Tongbotaya",2360,2739,NA,0.01,0.0098,2739,"DRD","BAGO","3","Bago","30108","Tongbotaya",0,"0","0",0,"Tawa","0","0","0",96.47555,17.226108,707,258.2648402,"grid",441520,1399.992127,191,152376.2698,"0.24697%",1,1132762,0.145356,1,486048.5845,"16.650%",1,26599.85041,468119.8504,707122133.9,0.1159831,1,"Bago Region (East)"
