"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
95153611871805,"","0",19,5.25,5.18,1,"Padaung",53506,62096,NA,0.01,0.0098,62096,"DRD","Bago(west)","","","","",0,"0","0",0,"","0","0","0",95.153611,18.718056,16065,5868.493151,"grid",9986320,1617.576372,40,7883.179917,"0.01278%",1,738062,0.0947081,1,336255.7078,"11.518%",1,30733.95106,10017053.95,458898426.9,0.0752691,1,"Bago Region (West)"
95779261766110,"Thayawady","0",19,5.25,5.18,1,"Dawsaing",180,209,NA,0.01,0.0098,209,"DRD","Pegu(west)","4","Thayawadi","40201","Dawsaing",0,"0","0",0,"Kangale","0","0","0",95.779267,17.661105,57,20.82191781,"grid",36520,1269.893355,48,13635.92598,"0.02210%",1,777504,0.0997693,1,356511.4155,"12.212%",1,24127.97374,60647.97374,483526973,0.0793088,1,"Bago Region (West)"
95786381765444,"","0",19,5.25,5.18,1,"Thayarwady",59125,68617,NA,0.01,0.0098,68617,"DRD","Bago(west)","","","","",0,"0","0",0,"","0","0","0",95.786389,17.654444,17753,6485.114155,"grid",11034120,1057.376025,49,14693.30201,"0.02381%",1,795257,0.1020474,1,356532.2374,"12.213%",1,20090.14448,11054210.14,494581183.2,0.0811219,1,"Bago Region (West)"
95726571789124,"Thayawady","0",19,5.25,5.18,1,"Sitkwin",4446,5160,NA,0.01,0.0098,5160,"DRD","Pegu(west)","4","Minhla","40202","Sitkwin",0,"0","0",0,"Sitkwin","0","0","0",95.726571,17.891249,1339,489.1324201,"grid",833220,1010.882006,76,40874.49935,"0.06625%",1,936871,0.1202193,1,414259.3607,"14.191%",1,19206.75812,852426.7581,583115532.9,0.0956434,1,"Bago Region (West)"
95061591856971,"Pyay","0",19,5.25,5.18,1,"Thayedan",1667,1935,NA,0.01,0.0098,1935,"DRD","Pegu(west)","4","padaung","40106","Thayedan",0,"0","0",0,"Thaledan","0","0","0",95.061598,18.569716,500,182.6484018,"grid",312320,1116.665568,256,203201.9742,"0.32935%",1,1160142,0.1488694,1,496126.0274,"16.995%",1,21216.6458,333536.6458,725180854.7,0.1189452,1,"Bago Region (West)"
95294861891664,"Pyay","0",19,5.25,5.18,1,"Meinmaye",1372,1592,NA,0.01,0.0098,1592,"DRD","Pegu(west)","4","Pyay","40101","Meinmaye",0,"0","0",0,"Mweyo","0","0","0",95.294868,18.916649,412,150.5022831,"grid",257020,1095.723697,394,337453.8461,"0.54694%",1,1265506,0.1623897,1,534647.3059,"18.314%",1,20818.75024,277838.7502,793408912.7,0.130136,1,"Bago Region (West)"
95802811770368,"Thayawady","0",19,5.25,5.18,1,"Padamyakwatthit",262,304,NA,0.01,0.0098,304,"DRD","Pegu(west)","4","Thayawadi","40201","Padamyakwatthit",0,"0","0",0,"Gayanthayaaye","0","0","0",95.802812,17.703685,82,29.9543379,"grid",51520,1286.846046,704,614898.3539,"0.99661%",1,1385682,0.1778107,1,578667.7626,"19.822%",1,24450.07488,75970.07488,873845045.2,0.1433293,1,"Bago Region (West)"
95806131770501,"Thayawady","0",19,5.25,5.18,1,"Thayaaye",700,812,NA,0.01,0.0098,812,"DRD","Pegu(west)","4","Thayawadi","40201","Thayaaye",0,"0","0",0,"Gayanthayaaye","0","0","0",95.806133,17.705013,212,77.44292237,"grid",132020,381.5249274,705,615279.8788,"0.99723%",1,1385894,0.1778379,1,578697.7169,"19.823%",1,7248.97362,139268.9736,873984314.2,0.1433521,1,"Bago Region (West)"
95808391770634,"Thayawady","0",19,5.25,5.18,1,"Kanthaya",88,102,NA,0.01,0.0098,102,"DRD","Pegu(west)","4","Thayawadi","40201","Kanthaya",0,"0","0",0,"Gayanthayaaye","0","0","0",95.808392,17.706342,31,11.32420091,"grid",20920,281.2449118,706,615561.1238,"0.99769%",1,1385925,0.1778419,1,578775.1598,"19.826%",1,5343.653324,26263.65332,874010577.8,0.1433564,1,"Bago Region (West)"
95809761770713,"Thayawady","0",19,5.25,5.18,1,"Gayanthayaaye",1200,1393,NA,0.01,0.0098,1393,"DRD","Pegu(west)","4","Thayawadi","40201","Gayanthayaaye",0,"0","0",0,"Gayanthayaaye","0","0","0",95.809765,17.707133,361,131.8721461,"grid",226420,169.9659244,707,615731.0897,"0.99796%",1,1386286,0.1778882,1,578786.484,"19.826%",1,3229.352563,229649.3526,874240227.2,0.1433941,1,"Bago Region (West)"
