"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
93680272291111,"","",21,6.34,5.29,1.28,"Falam",7634,8559,NA,0.0077,0.0117,8559,"DRD","Chin","12","",NA,"",NA,NA,NA,NA,"","",NA,NA,93.680278,22.911111,2297,839.086758,"grid",1428020,25.94257657,23,1478.287014,"0.00240%",1,594725,0.0763151,1,288924.5662,"9.897%",1,544.7941079,1428564.794,369667414.2,0.0606334,1,"Chin State"
93604722264000,"","",21,6.34,5.29,1.28,"Hakha",27607,30951,NA,0.0077,0.0117,30951,"DRD","Chin","12","",NA,"",NA,NA,NA,NA,"","",NA,NA,93.604722,22.64,8298,3031.232877,"grid",5158620,285.914408,28,2401.380782,"0.00389%",1,637573,0.0818134,1,302384.6575,"10.358%",1,6004.202568,5164624.203,396321528.3,0.0650052,1,"Chin State"
93440832160472,"","",21,6.34,5.29,1.28,"Madupi",9952,11158,NA,0.0077,0.0117,11158,"DRD","Chin","12","",NA,"",NA,NA,NA,NA,"","",NA,NA,93.440833,21.604722,2994,1093.69863,"grid",1861220,116.7028518,30,2688.597158,"0.00436%",1,645160,0.0827869,1,307093.6986,"10.520%",1,2450.759888,1863670.76,401044058.9,0.0657798,1,"Chin State"
93973612137166,"","",21,6.34,5.29,1.28,"Mindat",8996,10086,NA,0.0077,0.0117,10086,"DRD","Chin","12","","","",NA,"","",NA,"",NA,"","",93.973611,21.371667,2707,988.8584475,"grid",1684020,167.1327422,33,3487.734527,"0.00565%",1,687822,0.0882613,1,322782.8311,"11.057%",1,3509.787586,1687529.788,427579368.7,0.0701322,1,"Chin State"
93953322137039,"Min Tap","1202",21,6.34,5.29,1.28,"Kyartaw",216,242,NA,0.0077,0.0117,242,"DRD","Chin","12","Min Tap","120203","Kyartaw",12020324008,"33","33",216,"Mashiyaw","12020324","180","1153",93.953327,21.37039,51,18.63013699,"grid",32920,704.0792688,23704,27499203.82,"44.57009%",3,6141049,0.7880195,4,2315799.452,"79.328%",4,14785.66464,47705.66464,4372747858,0.7172241,4,"Chin State"
93686992289069,"Pha Lam","1201",21,6.34,5.29,1.28,"Thanhneelhtat",148,166,NA,0.0077,0.0117,166,"DRD","Chin","12","Pha Lam","120106","Thanhneelhtat",12010607002,"20","19",148,"Losau","12010607","211",NA,93.686998,22.890694,36,13.15068493,"grid",23920,2345.801888,25129,29508196.21,"47.82622%",3,6323030,0.8113713,5,2382282.009,"81.605%",5,49261.83965,73181.83965,4526500541,0.7424428,4,"Chin State"
93683282287934,"Pha Lam","1201",21,6.34,5.29,1.28,"Losau",452,507,NA,0.0077,0.0117,507,"DRD","Chin","12","Pha Lam","120106","Losau",12010607001,"60","57",452,"Losau","12010607","211",NA,93.683287,22.879345,103,37.62557078,"grid",64120,1317.972291,25130,29509514.19,"47.82836%",3,6323133,0.8113845,5,2382295.16,"81.606%",5,27677.41812,91797.41812,4526592339,0.7424579,4,"Chin State"
93663882288671,"Pha Lam","1201",21,6.34,5.29,1.28,"Zarlai",635,712,NA,0.0077,0.0117,712,"DRD","Chin","12","Pha Lam","120106","Zarlai",12010607004,"90","90",635,"Losau","12010607","211",NA,93.663882,22.886719,144,52.60273973,"grid",91220,2150.390716,25131,29511664.58,"47.83184%",3,6323277,0.811403,5,2382332.785,"81.607%",5,45158.20503,136378.205,4526728717,0.7424802,4,"Chin State"
93679562287330,"Pha Lam","1201",21,6.34,5.29,1.28,"Kalyawn",48,54,NA,0.0077,0.0117,54,"DRD","Chin","12","Pha Lam","120106","Kalyawn",12010607005,"5","5",48,"Losau","12010607","211",NA,93.679566,22.873307,14,5.114155251,"grid",10720,772.0727009,25132,29512436.65,"47.83309%",3,6323291,0.8114047,5,2382385.388,"81.609%",5,16213.52672,26933.52672,4526755650,0.7424846,4,"Chin State"
93661362286688,"Pha Lam","1201",21,6.34,5.29,1.28,"Bailar",168,188,NA,0.0077,0.0117,188,"DRD","Chin","12","Pha Lam","120106","Bailar",12010607006,"20","20",168,"Losau","12010607","211",NA,93.661364,22.86688,40,14.61187215,"grid",26320,1997.110168,25133,29514433.76,"47.83633%",3,6323331,0.8114099,5,2382390.502,"81.609%",5,41939.31352,68259.31352,4526823910,0.7424958,4,"Chin State"
