"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
97390272538750,"","",21,7.96,6.01,1.28,"Myintkyina",203853,233798,NA,0.0091,0.0144,233798,"DRD","Kachin","9","","","",NA,"",NA,NA,"","","","",97.390278,25.3875,59741,21823.19635,"grid",37129420,58.13554084,4,88.8002831,"0.00014%",1,298049,0.0382456,1,159565.6621,"5.466%",1,1220.846358,37130640.85,185240494.4,0.0303834,1,"Kachin State"
96322502561583,"","",21,7.96,6.01,1.28,"Hpakan",17810,20426,NA,0.0091,0.0144,20426,"DRD","Kachin","9","","","",NA,"",NA,NA,"","","","",96.3225,25.615833,5223,1907.945205,"grid",3246120,493.803075,39,6265.603546,"0.01016%",1,721997,0.0926467,1,334347.7626,"11.453%",1,10369.86457,3256489.865,448881373,0.0736261,1,"Kachin State"
97089502534280,"Myintkyina","901",21,7.96,6.01,1.28,"Mayan  (*)",5235,6004,NA,0.0091,0.0144,6004,"DRD","Kachin","9","Moekaung","90102","Mayan  (*)",9010237001,"690",NA,5235,"Mayan","9010237","1495","8777",97.0895058,25.3428091,1537,561.4611872,"grid",957020,1114.523137,110,74354.24778,"0.12051%",1,1022279,0.1311788,1,445386.3014,"15.257%",1,23404.98589,980424.9859,636878789,0.1044617,1,"Kachin State"
96600742504167,"Myintkyina","901",21,7.96,6.01,1.28,"Nantkohim (wyathit)",1690,1938,NA,0.0091,0.0144,1938,"DRD","Kachin","9","Moekaung","90102","Nantkohim (wyathit)",9010227003,"325","290",1690,"Nantkohim","9010227","980","5232",96.6007479,25.0416735,322,117.6255708,"grid",200520,1234.140306,198,159572.0004,"0.25863%",1,1136386,0.1458211,1,487513.0594,"16.700%",1,25916.94643,226436.9464,709521078.3,0.1163766,1,"Kachin State"
96599792504470,"Myintkyina","901",21,7.96,6.01,1.28,"Nantyom",1565,1795,NA,0.0091,0.0144,1795,"DRD","Kachin","9","Moekaung","90102","Nantyom",9010227002,"340","305",1565,"Nantkohim","9010227","980","5232",96.5997966,25.0447002,298,108.8584475,"grid",186120,349.9330878,199,159921.9335,"0.25920%",1,1136684,0.1458593,1,487630.6849,"16.704%",1,7348.594844,193468.5948,709714546.9,0.1164083,1,"Kachin State"
96596422504617,"Myintkyina","901",21,7.96,6.01,1.28,"Nantkohim",1977,2267,NA,0.0091,0.0144,2267,"DRD","Kachin","9","Moekaung","90102","Nantkohim",9010227001,"420","385",1977,"Nantkohim","9010227","980","5232",96.596424,25.0461703,377,137.716895,"grid",236020,377.0344873,200,160298.968,"0.25981%",1,1137061,0.1459077,1,487739.5434,"16.708%",1,7917.724233,243937.7242,709958484.6,0.1164484,1,"Kachin State"
96915202535746,"Myintkyina","901",21,7.96,6.01,1.28,"Cot-nan",1195,1371,NA,0.0091,0.0144,1371,"DRD","Kachin","9","Moekaung","90102","Cot-nan",9010204003,"213","208",1195,"Outyaeshin","9010204","1586","8527",96.9152011,25.3574669,229,83.65296804,"grid",142220,2051.824587,232,191963.2357,"0.31113%",1,1154344,0.1481254,1,494107.032,"16.926%",1,43088.31632,185308.3163,721340838.3,0.1183153,1,"Kachin State"
96911282535769,"Myintkyina","901",21,7.96,6.01,1.28,"Lay-mine",1015,1164,NA,0.0091,0.0144,1164,"DRD","Kachin","9","Moekaung","90102","Lay-mine",9010204004,"203","200",1015,"Outyaeshin","9010204","1586","8527",96.9112895,25.3576905,194,70.86757991,"grid",121220,393.8300188,233,192357.0657,"0.31177%",1,1154538,0.1481503,1,494190.6849,"16.929%",1,8270.430395,129490.4304,721470328.7,0.1183365,1,"Kachin State"
96911132535646,"Myintkyina","901",21,7.96,6.01,1.28,"Nyaunghtaukkalay",910,1044,NA,0.0091,0.0144,1044,"DRD","Kachin","9","Moekaung","90102","Nyaunghtaukkalay",9010204006,"207","200",910,"Outyaeshin","9010204","1586","8527",96.9111396,25.3564621,175,63.92694064,"grid",109820,137.4200023,234,192494.4857,"0.31199%",1,1154713,0.1481728,1,494261.5525,"16.931%",1,2885.820048,112705.82,721583034.6,0.118355,1,"Kachin State"
96911032535540,"Myintkyina","901",21,7.96,6.01,1.28,"Nyaunghtaukkyi (*)",1435,1646,NA,0.0091,0.0144,1646,"DRD","Kachin","9","Moekaung","90102","Nyaunghtaukkyi (*)",9010204005,"278","250",1435,"Outyaeshin","9010204","1586","8527",96.9110363,25.3554031,274,100.0913242,"grid",171720,118.2121685,235,192612.6979,"0.31218%",1,1154987,0.1482079,1,494325.4795,"16.933%",1,2482.455538,174202.4555,721757237,0.1183836,1,"Kachin State"
