"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
97520831963166,"","",20,5.88,5.5,1.14,"Shadaw",1478,1852,NA,0.0151,0.0157,1852,"DRD","Kayah","10","","","",NA,"","",NA,"","","","",97.520833,19.631667,498,181.9178082,"grid",311120,2795.29514,3466,3603400.452,"5.84031%",1,2352432,0.3018641,2,931666.484,"31.914%",2,55905.9028,367025.9028,1535094797,0.2517883,2,"Kayah State"
97211971961426,"Loikaw","1001",20,5.88,5.5,1.14,"sanpya6-miles",618,774,NA,0.0151,0.0157,774,"DRD","Kayah","10","Demoso","100102","sanpya6-miles",10010213001,"127","119",618,"sanpya6-miles","10010213","407","2098",97.211975,19.6142697,210,76.71232877,"grid",130820,1532.538458,6297,6772319.7,"10.97642%",1,3118100,0.4001146,3,1211467.763,"41.499%",3,30650.76915,161470.7692,2075029748,0.3403492,2,"Kayah State"
97211491960977,"Loikaw","1001",20,5.88,5.5,1.14,"wanlahtur",419,525,NA,0.0151,0.0157,525,"DRD","Kayah","10","Demoso","100102","wanlahtur",10010213002,"88","81",419,"sanpya6-miles","10010213","407","2098",97.2114987,19.6097764,144,52.60273973,"grid",91220,502.1175819,6298,6772821.818,"10.97724%",1,3118244,0.4001331,3,1211544.475,"41.502%",3,10042.35164,101262.3516,2075131010,0.3403658,2,"Kayah State"
97297601889481,"bawlakhae","1002",20,5.88,5.5,1.14,"nan hu kong",439,550,NA,0.0151,0.0157,550,"DRD","Kayah","10","pharsaung","100202","nan hu kong",10020201002,"27","27",439,"pharsaung","10020201","65","895",97.2976012,18.8948166,150,54.79452055,"grid",94820,1011.87306,6446,6954197.757,"11.27121%",1,3153461,0.4046521,3,1224406.941,"41.942%",3,20237.4612,115057.4612,2100664800,0.3445539,2,"Kayah State"
97228391976495,"Loikaw","1001",20,5.88,5.5,1.14,"Lael-twe",435,545,NA,0.0151,0.0157,545,"DRD","Kayah","10","Loikaw","100101","Lael-twe",10010109014,"","",435,"Noar-la-wo","10010109","1139","4474",97.2283963,19.7649571,149,54.42922374,"grid",94220,1097.440164,8434,9154094.419,"14.83675%",1,3558321,0.4566038,3,1372301.37,"47.008%",3,21948.80329,116168.8033,2396706162,0.393111,2,"Kayah State"
97109311945340,"Loikaw","1001",20,5.88,5.5,1.14,"Solyahku",711,891,NA,0.0151,0.0157,891,"DRD","Kayah","10","Hpruso","100103","Solyahku",10010303005,"140","106",711,"Hpruso","10010303","430","2812",97.1093172,19.4534078,241,88.03652968,"grid",151920,1928.415306,10404,11312486.03,"18.33502%",1,3931244,0.5044573,3,1508495.342,"51.674%",3,38568.30612,190488.3061,2671925123,0.4382528,3,"Kayah State"
97214861960722,"Loikaw","1001",20,5.88,5.5,1.14,"hophe",286,358,NA,0.0151,0.0157,358,"DRD","Kayah","10","Demoso","100102","hophe",10010213003,"59","55",286,"sanpya6-mile","10010213","407","2098",97.2148629,19.6072232,99,36.16438356,"grid",61720,452.5249823,11303,12345359.55,"20.00908%",2,4088130,0.5245889,3,1565857.169,"53.639%",3,9050.499646,70770.49965,2790257644,0.4576619,3,"Kayah State"
97114931947019,"Loikaw","1001",20,5.88,5.5,1.14,"Lawhkawhku",592,742,NA,0.0151,0.0157,742,"DRD","Kayah","10","Hpruso","100103","Lawhkawhku",10010304006,"121","89",592,"Htipawso","10010304","343","2087",97.1149301,19.4701927,202,73.78995434,"grid",126020,1815.404756,14184,15710831.42,"25.46376%",2,4621131,0.5929836,3,1760523.105,"60.307%",4,36308.09512,162328.0951,3189697918,0.5231786,3,"Kayah State"
97192991886927,"bawlakhae","1002",20,5.88,5.5,1.14,"kananlo",316,396,NA,0.0151,0.0157,396,"DRD","Kayah","10","pharsaung","100202","kananlo",10020205001,"31","31",316,"maw chi(collection)","10020205","211","2787",97.1929903,18.8692702,109,39.8173516,"grid",67720,7076.177855,17937,20287678.65,"32.88181%",2,5317875,0.6823898,4,2015075.434,"69.027%",4,141523.5571,209243.5571,3715343844,0.6093958,4,"Kayah State"
97164691888851,"bawlakhae","1002",20,5.88,5.5,1.14,"swapal",318,398,NA,0.0151,0.0157,398,"DRD","Kayah","10","pharsaung","100202","swapal",10020205002,"32","32",318,"maw chi(collection)","10020205","211","2787",97.1646952,18.8885108,110,40.1826484,"grid",68320,3666.053388,17938,20291344.7,"32.88775%",2,5317985,0.6824039,4,2015115.251,"69.028%",4,73321.06777,141641.0678,3715485485,0.609419,4,"Kayah State"
