"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
98516661668333,"","",20,6.1,5.69,1.14,"Myawaddy",71906,83450,NA,0.01,0.0218,83450,"DRD","Kayin","11","","","",NA,NA,NA,NA,"","",NA,NA,98.516667,16.683333,28013,10233.05936,"grid",17410120,68.01937619,8,274.9913708,"0.00045%",1,392066,0.0503099,1,205499.9087,"7.039%",1,1360.387524,17411480.39,243678638.8,0.0399685,1,"Kayin State"
98240001655555,"","",20,6.1,5.69,1.14,"Kawkareik",111899,129863,NA,0.01,0.0218,129863,"DRD","Kayin","11","","","",NA,NA,NA,NA,"","",NA,NA,98.24,16.555556,43591,15923.65297,"grid",27091920,66.92006324,54,17337.00514,"0.02810%",1,871035,0.1117712,1,374775.1598,"12.838%",1,1338.401265,27093258.4,541730109.8,0.0888553,1,"Kayin State"
97882711655357,"Kawkareik","1102",20,6.1,5.69,1.14,"Phayarkyikone",3213,3729,NA,0.01,0.0218,3729,"DRD","Kayin","11","Kawkareik","110201","Phayarkyikone",11020149002,"235","233",3213,"Kawkpauk","11020149",NA,NA,97.882712,16.553576,887,324.0182648,"grid",552020,1180.717114,209,170147.2568,"0.27577%",1,1143922,0.1467881,1,490059.5434,"16.787%",1,23614.34227,575634.3423,714419262.8,0.11718,1,"Kayin State"
97889811652146,"Kawkareik","1102",20,6.1,5.69,1.14,"Popkyukone",1281,1487,NA,0.01,0.0218,1487,"DRD","Kayin","11","Kawkareik","110201","Popkyukone",11020148005,"177","177",1281,"Minnywar","11020148",NA,NA,97.889811,16.521466,332,121.2785388,"grid",206520,1121.068428,377,315516.2431,"0.51138%",1,1255083,0.1610523,1,530869.0411,"18.185%",1,22421.36856,228941.3686,786490200,0.1290012,1,"Kayin State"
97874321651138,"Kawkareik","1102",20,6.1,5.69,1.14,"Kawkgu",2850,3308,NA,0.01,0.0218,3308,"DRD","Kayin","11","Kawkareik","110201","Kawkgu",11020148008,"252","250",2850,"Minnywar","11020148",NA,NA,97.874321,16.511381,734,268.1278539,"grid",457720,1996.115132,378,317512.3583,"0.51462%",1,1255817,0.1611464,1,530990.3196,"18.189%",1,39922.30264,497642.3026,786987842.3,0.1290828,1,"Kayin State"
97856731651347,"Kawkareik","1102",20,6.1,5.69,1.14,"Kawkmi",3408,3955,NA,0.01,0.0218,3955,"DRD","Kayin","11","Kawkareik","110201","Kawkmi",11020150002,"415","415",3408,"Kawkbain","11020150",NA,NA,97.856733,16.513478,1008,368.2191781,"grid",627120,1889.485684,379,319401.8439,"0.51768%",1,1256825,0.1612758,1,531258.4475,"18.198%",1,37789.71367,664909.7137,787652752,0.1291919,1,"Kayin State"
97881661654688,"Kawkareik","1102",20,6.1,5.69,1.14,"Kawkngat",234,272,NA,0.01,0.0218,272,"DRD","Kayin","11","Kawkareik","110201","Kawkngat",11020149004,"40","40",234,"Kawkpauk","11020149",NA,NA,97.881663,16.54688,63,23.01369863,"grid",40120,752.9109511,1283,1213775.805,"1.96726%",1,1654435,0.2122971,2,676849.3151,"23.186%",2,15058.21902,55178.21902,1053022084,0.1727181,1,"Kayin State"
97876491654575,"Kawkareik","1102",20,6.1,5.69,1.14,"Phayarkyitaung",1029,1194,NA,0.01,0.0218,1194,"DRD","Kayin","11","Kawkareik","110201","Phayarkyitaung",11020148004,"111","133",1029,"Minnywar","11020148",NA,NA,97.876499,16.54575,267,97.53424658,"grid",167520,564.5926529,1284,1214340.398,"1.96818%",1,1654702,0.2123314,2,676872.3288,"23.186%",2,11291.85306,178811.8531,1053200896,0.1727474,1,"Kayin State"
97715451656798,"Mawlamyine","1301",19,7.08,5.41,1,"Alan-kyun",1087,1324,NA,0.0132,0.0118,1324,"DRD","Mon","13","Kyaikmayaw","130106","Alan-kyun",13010625003,"0","0",0,"Letpan","0","0","0",97.7154595,16.5679899,280,102.283105,"grid",175320,1450.582835,2668,2731259.364,"4.42676%",1,2122637,0.2723768,2,847802.7397,"29.042%",2,27561.07386,202881.0739,1374699854,0.2254801,2,"Kayin State"
97766181654384,"Hpaan","1101",20,6.1,5.69,1.14,"Kawthein",1068,1239,NA,0.01,0.0218,1239,"DRD","Kayin","11","Hpaan","110101","Kawthein",11010106001,"213","213",1068,"Kawthein","11010106","213",NA,97.766188,16.543845,277,101.1872146,"grid",173520,2350.347358,3053,3156980.047,"5.11676%",1,2243693,0.2879107,2,892025.2055,"30.556%",2,47006.94716,220526.9472,1458539196,0.2392316,2,"Kayin State"
97767651654255,"Hpaan","1101",20,6.1,5.69,1.14,"Pyawyargon",750,870,NA,0.01,0.0218,870,"DRD","Kayin","11","Hpaan","110101","Pyawyargon",11010105010,"130","130",750,"KawKyaik(Paawn)","11010105",NA,NA,97.767657,16.542559,195,71.23287671,"grid",121820,212.0534256,3054,3157192.1,"5.11711%",1,2243888,0.2879357,2,892126.3927,"30.560%",2,4241.068512,126061.0685,1458665257,0.2392523,2,"Kayin State"
97668451660281,"Hpaan","1101",20,6.1,5.69,1.14,"Kawgun",3005,3487,NA,0.01,0.0218,3487,"DRD","Kayin","11","Hpaan","110101","Kawgun",11010108001,NA,NA,3005,"Kawgun(Phekata)","11010108","950",NA,97.668456,16.602815,774,282.739726,"grid",481720,1611.943845,3564,3732027.599,"6.04879%",1,2385306,0.3060825,2,943574.4292,"32.322%",2,32238.87691,513958.8769,1558088424,0.2555598,2,"Kayin State"
97664561661070,"Hpaan","1101",20,6.1,5.69,1.14,"Pekata",3250,3772,NA,0.01,0.0218,3772,"DRD","Kayin","11","Hpaan","110101","Pekata",11010149001,NA,"635",3250,"Pekata","11010149",NA,NA,97.664566,16.610708,918,335.3424658,"grid",570620,970.6225504,3565,3732998.221,"6.05036%",1,2386224,0.3062003,2,943857.1689,"32.332%",2,19412.45101,590032.451,1558678456,0.2556566,2,"Kayin State"
97675251660857,"Hpaan","1101",20,6.1,5.69,1.14,"Kyonpanaw",980,1137,NA,0.01,0.0218,1137,"DRD","Kayin","11","Hpaan","110101","Kyonpanaw",11010109001,"196","196",980,"Kalarsu(Taungthugon)","11010109",NA,NA,97.675253,16.608571,254,92.78538813,"grid",159720,966.5505941,3566,3733964.772,"6.05193%",1,2386478,0.3062329,2,944192.5114,"32.343%",2,19331.01188,179051.0119,1558857507,0.2556859,2,"Kayin State"
97679041660655,"Hpaan","1101",20,6.1,5.69,1.14,"Khare",1750,2031,NA,0.01,0.0218,2031,"DRD","Kayin","11","Hpaan","110101","Khare",11010108002,"350","350",1750,"Kawgun(phekata)","11010108","950",NA,97.679049,16.60655,452,165.1141553,"grid",281020,462.7230624,3567,3734427.495,"6.05268%",1,2386930,0.3062909,2,944285.2968,"32.347%",2,9254.461248,290274.4612,1559147782,0.2557335,2,"Kayin State"
97645011663043,"Hpaan","1101",20,6.1,5.69,1.14,"Hpaon",3400,3946,NA,0.01,0.0218,3946,"DRD","Kayin","11","Hpaan","110101","Hpaon",11010150001,NA,NA,3400,"Hpaon","11010150",NA,NA,97.645016,16.630434,1006,367.4885845,"grid",625920,2436.802411,3961,4153148.447,"6.73133%",1,2484952,0.3188691,2,979890.0457,"33.566%",2,48736.04823,674656.0482,1628556328,0.267118,2,"Kayin State"
97646591664549,"Hpaan","1101",20,6.1,5.69,1.14,"Kyontabin",609,707,NA,0.01,0.0218,707,"DRD","Kayin","11","Hpaan","110101","Kyontabin",11010105008,"150","150",609,"KawKyaik(Paawn)","11010105",NA,NA,97.646594,16.645496,160,58.44748858,"grid",100820,1134.710625,4017,4205327.225,"6.81590%",1,2496478,0.3203481,2,984409.4977,"33.721%",2,22694.2125,123514.2125,1636777207,0.2684664,2,"Kayin State"
97663431666031,"Hpaan","1101",20,6.1,5.69,1.14,"Kawkyaik",757,879,NA,0.01,0.0218,879,"DRD","Kayin","11","Hpaan","110101","Kawkyaik",11010105001,"150","150",757,"KawKyaik(Paawn)","11010105",NA,NA,97.663434,16.660315,197,71.96347032,"grid",123020,2435.906618,4018,4207763.132,"6.81985%",1,2496675,0.3203734,2,984467.9452,"33.723%",2,48718.13235,171738.1324,1636948946,0.2684946,2,"Kayin State"
97666681665994,"Hpaan","1101",20,6.1,5.69,1.14,"Tawgyi",550,638,NA,0.01,0.0218,638,"DRD","Kayin","11","Hpaan","110101","Tawgyi",11010105004,"210","210",550,"KawKyaik(Paawn)","11010105",NA,NA,97.66668,16.659948,144,52.60273973,"grid",91220,348.1875911,4019,4208111.32,"6.82041%",1,2496819,0.3203918,2,984539.9087,"33.726%",2,6963.751821,98183.75182,1637047129,0.2685107,2,"Kayin State"
97673291665713,"Hpaan","1101",20,6.1,5.69,1.14,"Naunggon",754,875,NA,0.01,0.0218,875,"DRD","Kayin","11","Hpaan","110101","Naunggon",11010105006,"130","130",754,"KawKyaik(Paawn)","11010105",NA,NA,97.673293,16.657131,197,71.96347032,"grid",123020,770.9715545,4020,4208882.291,"6.82166%",1,2497016,0.3204171,2,984592.5114,"33.727%",2,15419.43109,138439.4311,1637185569,0.2685334,2,"Kayin State"
97671081665302,"Hpaan","1101",20,6.1,5.69,1.14,"Kaphamok",709,823,NA,0.01,0.0218,823,"DRD","Kayin","11","Hpaan","110101","Kaphamok",11010105005,"120","120",709,"KawKyaik(Paawn)","11010105",NA,NA,97.671089,16.653028,185,67.57990868,"grid",115820,513.1047938,4021,4209395.396,"6.82249%",1,2497201,0.3204409,2,984664.4749,"33.730%",2,10262.09588,126082.0959,1637311651,0.2685541,2,"Kayin State"
97676291666166,"Hpaan","1101",20,6.1,5.69,1.14,"Zinpyon",654,759,NA,0.01,0.0218,759,"DRD","Kayin","11","Hpaan","110101","Zinpyon",11010105009,"110","110",654,"KawKyaik(Paawn)","11010105",NA,NA,97.676294,16.661662,171,62.46575342,"grid",107420,596.691919,4022,4209992.088,"6.82346%",1,2497372,0.3204628,2,984732.0548,"33.732%",2,11933.83838,119353.8384,1637431005,0.2685737,2,"Kayin State"
97674511666711,"Hpaan","1101",20,6.1,5.69,1.14,"Kawklerk",659,765,NA,0.01,0.0218,765,"DRD","Kayin","11","Hpaan","110101","Kawklerk",11010105002,"180","180",659,"KawKyaik(Paawn)","11010105",NA,NA,97.674518,16.667112,172,62.83105023,"grid",108020,634.8577526,4024,4211786.705,"6.82637%",1,2497860,0.3205254,2,984909.9543,"33.738%",2,12697.15505,120717.1551,1637770677,0.2686294,2,"Kayin State"
97672681667231,"Hpaan","1101",20,6.1,5.69,1.14,"Kawnaingklon",852,989,NA,0.01,0.0218,989,"DRD","Kayin","11","Hpaan","110101","Kawnaingklon",11010105003,"150","150",852,"KawKyaik(Paawn)","11010105",NA,NA,97.672681,16.672317,222,81.09589041,"grid",138020,610.9552751,4025,4212397.66,"6.82736%",1,2498082,0.3205539,2,984972.7854,"33.740%",2,12219.1055,150239.1055,1637920916,0.268654,2,"Kayin State"
97679001669146,"Hpaan","1101",20,6.1,5.69,1.14,"Kawparan",650,754,NA,0.01,0.0218,754,"DRD","Kayin","11","Hpaan","110101","Kawparan",11010160003,"100","100",650,"Shwetaw","11010160","470",NA,97.679008,16.691463,170,62.10045662,"grid",106820,2233.061235,4062,4250379.957,"6.88892%",1,2506030,0.3215738,2,987895.1598,"33.840%",2,44661.22469,151481.2247,1643627114,0.26959,2,"Kayin State"
97661571669806,"Hpaan","1101",20,6.1,5.69,1.14,"Kaweipaing",550,638,NA,0.01,0.0218,638,"DRD","Kayin","11","Hpaan","110101","Kaweipaing",11010160005,"90","90",550,"Shwetaw","11010160","470",NA,97.661572,16.698068,144,52.60273973,"grid",91220,1997.031569,4063,4252376.989,"6.89216%",1,2506174,0.3215923,2,987957.2603,"33.843%",2,39940.63139,131160.6314,1643758275,0.2696115,2,"Kayin State"
