"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
95216941935861,"","",19,6.67,5.48,1,"Aunglan",66018,79144,NA,0.0122,0.011,79144,"DRD","Magway",NA,"","","",NA,"","",NA,"",NA,"","",95.216944,19.358611,20056,7326.392694,"grid",12465920,43.22649745,7,206.9719946,"0.00034%",1,364053,0.0467153,1,198173.516,"6.788%",1,821.3034515,12466741.3,226267158.4,0.0371126,1,"Magway Region"
95177221932138,"","",19,6.67,5.48,1,"Thayet",30813,36940,NA,0.0122,0.011,36940,"DRD","Magway",NA,"","","",NA,"","",NA,"",NA,"","",95.177222,19.321389,9363,3420.273973,"grid",5820120,33.19619871,11,416.1747505,"0.00067%",1,438107,0.0562179,1,229131.3242,"7.849%",1,630.7277755,5820750.728,272297975,0.0446627,1,"Magway Region"
95082222133500,"","",19,6.67,5.48,1,"Pakokku",159000,190614,NA,0.0122,0.011,190614,"DRD","Magway",NA,"","","",NA,"","",NA,"","","","",95.082222,21.335,48299,17643.47032,"grid",30019220,275.1176839,14,764.6211696,"0.00124%",1,501111,0.0643026,1,237923.2877,"8.150%",1,5227.235994,30024447.24,311464028.8,0.0510868,1,"Magway Region"
94875272017166,"","",19,6.67,5.48,1,"Minbu",67998,81518,NA,0.0122,0.011,81518,"DRD","Magway",NA,"","","",NA,"","",NA,"",NA,"","",94.875278,20.171667,20658,7546.30137,"grid",12839620,117.9377598,15,882.5589294,"0.00143%",1,521769,0.0669534,1,255566.758,"8.754%",1,2240.817436,12841860.82,324305889.6,0.0531931,1,"Magway Region"
94155552114972,"","",19,6.67,5.48,1,"Saw",6986,8375,NA,0.0122,0.011,8375,"DRD","Magway","","",NA,"",NA,NA,NA,NA,"","",NA,NA,94.155556,21.149722,2126,776.6210046,"grid",1322920,33.60017485,24,1511.887189,"0.00245%",1,596851,0.0765879,1,289763.653,"9.926%",1,638.4033221,1323558.403,370990972.6,0.0608504,1,"Magway Region"
94135832217416,"","",19,6.67,5.48,1,"Gangaw",12401,14867,NA,0.0122,0.011,14867,"DRD","Magway","","","","",NA,"",NA,NA,"","",NA,NA,94.135833,22.174167,3770,1377.16895,"grid",2344320,280.9580029,36,4551.184453,"0.00738%",1,702879,0.0901934,1,327894.7945,"11.232%",1,5338.202055,2349658.202,436961330.8,0.071671,1,"Magway Region"
95241662163333,"","",19,6.67,5.48,1,"Yesagyo",52888,63404,NA,0.0122,0.011,63404,"DRD","Magway","","","","",NA,"",NA,NA,"","",NA,NA,95.241667,21.633333,16068,5869.589041,"grid",9988120,1016.377043,53,17270.08508,"0.02799%",1,827444,0.1061776,1,368905.5708,"12.637%",1,19311.16382,10007431.16,514636851.4,0.0844114,1,"Magway Region"
95166111972722,"","",19,6.67,5.48,1,"Sinbaungwe",16283,19521,NA,0.0122,0.011,19521,"DRD","Magway",NA,"","","",NA,"","",NA,"",NA,"","",95.166111,19.727222,4950,1808.219178,"grid",3077320,4.4254584,55,17341.4306,"0.02811%",1,875985,0.1124064,1,390698.8128,"13.383%",1,84.0837096,3077404.084,544807513.8,0.0893601,1,"Magway Region"
95572291922959,"Thayet","203",19,6.67,5.48,1,"Shwebandaw",2219,2660,NA,0.0122,0.011,2660,"DRD","Magway","2","Aunglan","20302","Shwebandaw",2030207101,"490","480",2219,"Shwebandaw","20302071","838","3306",95.572293,19.229591,577,210.7762557,"grid",358520,285.9449044,62,22935.30755,"0.03717%",1,889811,0.1141806,1,397346.8493,"13.611%",1,5432.953184,363952.9532,553511823.2,0.0907878,1,"Magway Region"
95036001997491,"Thayet","203",19,6.67,5.48,1,"Ywadaw",560,671,NA,0.0122,0.011,671,"DRD","Magway","2","Minhla","20305","Ywadaw",2030504901,"100","99",560,"Ywadaw","20305049","271","1471",95.036008,19.974917,148,54.06392694,"grid",93620,1948.690848,79,46124.79168,"0.07476%",1,941147,0.120768,1,416256.4384,"14.259%",1,37025.1261,130645.1261,585875348.4,0.0960961,1,"Magway Region"
