"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
95863052088194,"","",19,5.71,5.27,1,"Mogoke",75372,89739,NA,0.0117,0.012,89739,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",95.863056,20.881944,24358,8897.899543,"grid",15139620,19.73926889,3,30.66474226,"0.00005%",1,238308,0.0305797,1,150667.7626,"5.161%",1,375.046109,15139995.05,148109853.6,0.0242932,1,"Mandalay Region"
96058332085027,"","",19,5.71,5.27,1,"Wundwin",25672,30565,NA,0.0117,0.012,30565,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",96.058333,20.850278,8300,3031.96347,"grid",5159820,16.18531045,6,163.7454971,"0.00027%",1,343997,0.0441417,1,195141.5525,"6.685%",1,307.5208986,5160127.521,213800417.1,0.0350678,1,"Mandalay Region"
94910002119555,"","",19,5.71,5.27,1,"Patheingyi",13489,16060,NA,0.0117,0.012,16060,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",94.91,21.195556,4363,1593.789954,"grid",2712620,14.30441245,10,382.9785518,"0.00062%",1,428744,0.0550164,1,227537.5342,"7.794%",1,271.7838366,2712891.784,266477224.3,0.043708,1,"Mandalay Region"
96456382201388,"","",19,5.71,5.27,1,"Singu",6333,7540,NA,0.0117,0.012,7540,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",96.456389,22.013889,2050,748.8584475,"grid",1274820,15.01781552,18,1095.957399,"0.00178%",1,555211,0.0712447,1,274580.4566,"9.406%",1,285.3384949,1275105.338,345097302.6,0.0566033,1,"Mandalay Region"
95391662145750,"","",19,5.71,5.27,1,"Myittha",17889,21299,NA,0.0117,0.012,21299,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",95.391667,21.4575,5784,2112.876712,"grid",3595220,60.93909226,22,1452.344438,"0.00235%",1,592428,0.0760204,1,286811.6895,"9.825%",1,1157.842753,3596377.843,368238849.4,0.060399,1,"Mandalay Region"
96016342350460,"Pyinoolwin","101",19,5.71,5.27,1,"Tagaung",6090,7251,NA,0.0117,0.012,7251,"DRD","Mandalay","1","Thabeikyin","10104","Tagaung",1010401201,"1244","732",6090," ","10104012","958","7517",96.016349,23.504608,1972,720.3652968,"grid",1225520,218.1438715,41,8101.323789,"0.01313%",1,740034,0.0949612,1,342124.2009,"11.720%",1,4144.733559,1229664.734,460128091.6,0.0754708,1,"Mandalay Region"
96095832193944,"","",19,5.71,5.27,1,"Kyaukpadaung",39930,47541,NA,0.0117,0.012,47541,"DRD","Mandalay","1","","","",NA,"","",NA,"","","","",96.095833,21.939444,12906,4714.520548,"grid",8020920,1527.07844,43,11544.85203,"0.01871%",1,770112,0.0988208,1,349117.4429,"11.959%",1,29014.49036,8049934.49,478887458.7,0.0785478,1,"Mandalay Region"
96220432145012,"Kyaukse","103",19,5.71,5.27,1,"Tanaungdawtat",456,543,NA,0.0117,0.012,543,"DRD","Mandalay","1","Kyaukse","10301","Tanaungdawtat",1030105902,"NULL","72",456,"NULL","10301059","336","3033",96.22043083,21.45012474,138,50.4109589,"grid",87620,20.68678026,46,12155.54505,"0.01970%",1,776359,0.0996224,1,356063.5616,"12.197%",1,393.048825,88013.04882,482784495.3,0.079187,1,"Mandalay Region"
96219522148422,"Kyaukse","103",19,5.71,5.27,1,"Yegyi",15740,18740,NA,0.0117,0.012,18740,"DRD","Mandalay","1","Kyaukse","10301","Yegyi",1030105402,"NULL","118",15740,"NULL","10301054","303","2249",96.21952355,21.48422523,5090,1859.360731,"grid",3163820,1094.472656,50,15787.77466,"0.02559%",1,800347,0.1027005,1,363017.3516,"12.435%",1,20794.98046,3184614.98,497765798.2,0.0816442,1,"Mandalay Region"
95501812182040,"Myingyan","105",19,5.71,5.27,1,"Natkyi",3230,3846,NA,0.0117,0.012,3846,"DRD","Mandalay","1","Ngazun","10502","Natkyi",1050201301,"0","0",3230," ","10502013","0","0",95.50181,21.820404,1041,380.2739726,"grid",646920,236.6359474,51,16024.41061,"0.02597%",1,801388,0.1028341,1,364876.7123,"12.499%",1,4496.083,651416.083,498417214.2,0.0817511,1,"Mandalay Region"
