"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
97819791524677,"Mawlamyine","1301",19,7.08,5.41,1,"Abaw",4180,5090,NA,0.0132,0.0118,5090,"DRD","MON","13","Yae","0","Abaw",13010406001,"0","0",0,"A-baw","0","0","0",97.8197918,15.2467741,1341,489.8630137,"grid",834420,494.5335239,57,18868.91754,"0.03058%",1,880686,0.1130096,1,393734.4292,"13.487%",1,9396.136954,843816.137,547760309,0.0898444,1,"Mon State"
97553551645344,"Mawlamyine","1301",19,7.08,5.41,1,"Mudoon",11967,14573,NA,0.0132,0.0118,14573,"DRD","MON","13","Chaungzon","130105","Mudoon",13010541001,"0","0",0,"Mudoon","0","0","0",97.5535558,16.4534409,3834,1400.547945,"grid",2382720,2055.698691,65,27236.65941,"0.04414%",1,897928,0.1152221,1,399122.1918,"13.672%",1,39058.27513,2421778.275,558638208.9,0.0916286,1,"Mon State"
97722001584374,"Mawlamyine","1301",19,7.08,5.41,1,"Karopepi",6729,8195,NA,0.0132,0.0118,8195,"DRD","Mon","13","Thanphyuzayat","130103","Karopepi",13010320001,"0","0",0,"Karope-pi","0","0","0",97.72200086,15.84374828,2158,788.3105023,"grid",1342120,1206.460146,67,29272.52504,"0.04744%",1,901625,0.1156965,1,401084.9315,"13.739%",1,22922.74277,1365042.743,560978059.7,0.0920124,1,"Mon State"
97712851599668,"Mawlamyine","1301",19,7.08,5.41,1,"Warkhayu",6252,7614,NA,0.0132,0.0118,7614,"DRD","Mon","13","Thanphyuzayat","130103","Warkhayu",13010310001,"0","0",0,"Warkhayu","0","0","0",97.71285479,15.99668241,2005,732.4200913,"grid",1247820,1452.063389,73,36957.3952,"0.05990%",1,916367,0.1175882,1,406526.0274,"13.926%",1,27589.20439,1275409.204,570291341.7,0.09354,1,"Mon State"
97705191643444,"Mawlamyine","1301",19,7.08,5.41,1,"Kinsu",961,1170,NA,0.0132,0.0118,1170,"DRD","Mon","13","Kyaikmayaw","130106","Kinsu",13010634005,"0","0",0,"Peinnegon","0","0","0",97.7051918,16.4344455,248,90.59360731,"grid",156120,1186.330224,82,48698.57727,"0.07893%",1,945103,0.1212756,1,417665.0228,"14.307%",1,22540.27426,178660.2743,588387310.3,0.0965081,1,"Mon State"
97709581643070,"Mawlamyine","1301",19,7.08,5.41,1,"Peinnegon",6069,7391,NA,0.0132,0.0118,7391,"DRD","Mon","13","Kyaikmayaw","130106","Peinnegon",13010634001,"0","0",0,"Peinnegon","0","0","0",97.709583,16.4307,1946,710.8675799,"grid",1209920,626.7332778,83,49325.31055,"0.07995%",1,947049,0.1215253,1,417755.6164,"14.310%",1,11907.93228,1221827.932,589609138.3,0.0967085,1,"Mon State"
97712031643418,"Mawlamyine","1301",19,7.08,5.41,1,"Theinphyugon",3207,3905,NA,0.0132,0.0118,3905,"DRD","Mon","13","Kyaikmayaw","130106","Theinphyugon",13010634006,"0","0",0,"Peinnegon","0","0","0",97.712037,16.4341871,1057,386.1187215,"grid",659020,467.8139388,84,49793.12449,"0.08070%",1,948106,0.121661,1,418466.484,"14.335%",1,8888.464838,667908.4648,590277046.7,0.096818,1,"Mon State"
97534461635172,"Mawlamyine","1301",19,7.08,5.41,1,"Muyitkyi",5465,6655,NA,0.0132,0.0118,6655,"DRD","MON","13","Chaungzon","130105","Muyitkyi",13010510001,"0","0",0,"Muyitkyi","0","0","0",97.534468,16.3517239,1753,640.3652968,"grid",1091620,1582.44437,86,52411.39908,"0.08495%",1,951007,0.1220332,1,419271.9635,"14.362%",1,30066.44303,1121686.443,592132034,0.0971223,1,"Mon State"
97610851654293,"Thahton","1302",19,7.08,5.41,1,"Sizon",6938,8449,NA,0.0132,0.0118,8449,"DRD","Mon","13","Paung","130201","Sizon",13020144011,"0","0",0,"Motetama","0","0","0",97.6108541,16.5429363,2224,812.4200913,"grid",1384220,1520.38193,87,53931.78101,"0.08741%",1,953231,0.1223186,1,419912.3288,"14.384%",1,28887.25668,1413107.257,593545141.2,0.0973541,1,"Mon State"
97855601523488,"Mawlamyine","1301",19,7.08,5.41,1,"Chaungtaung",5515,6716,NA,0.0132,0.0118,6716,"DRD","MON","13","Yae","0","Chaungtaung",13010416001,"0","0",0,"Chaungtaung","0","0","0",97.8556027,15.234886,1770,646.5753425,"grid",1101820,1719.444691,91,56217.75387,"0.09112%",1,1003328,0.1287471,1,438378.4475,"15.017%",1,32669.44914,1134489.449,624729121.2,0.1024689,1,"Mon State"
97516011644811,"Mawlamyine","1301",19,7.08,5.41,1,"Knaunglan",1572,1914,NA,0.0132,0.0118,1914,"DRD","MON","13","Chaungzon","130105","Knaunglan",13010505001,"0","0",0,"Knaunglan","0","0","0",97.5160143,16.4481141,404,147.5799087,"grid",252220,1516.117525,95,59861.71112,"0.09702%",1,1005852,0.1290709,1,439799.4521,"15.065%",1,28806.23298,281026.233,626372181.6,0.1027384,1,"Mon State"
97516011644912,"Mawlamyine","1301",19,7.08,5.41,1,"Kyankhinhla",493,600,NA,0.0132,0.0118,600,"DRD","MON","13","Chaungzon","130105","Kyankhinhla",13010505002,"0","0",0,"Knaunglan","0","0","0",97.5160143,16.4491287,129,47.12328767,"grid",82220,112.8185467,96,59974.52967,"0.09721%",1,1005981,0.1290875,1,439947.032,"15.070%",1,2143.552387,84363.55239,626456545.1,0.1027523,1,"Mon State"
97516011645001,"Mawlamyine","1301",19,7.08,5.41,1,"Kadarkyaik",989,1204,NA,0.0132,0.0118,1204,"DRD","MON","13","Chaungzon","130105","Kadarkyaik",13010505003,"0","0",0,"Knaunglan","0","0","0",97.5160143,16.4500165,255,93.15068493,"grid",160320,98.71903435,97,60073.2487,"0.09737%",1,1006236,0.1291202,1,439994.1553,"15.072%",1,1875.661653,162195.6617,626618740.8,0.1027789,1,"Mon State"
97521081646219,"Mawlamyine","1301",19,7.08,5.41,1,"Kamarmo",8234,10027,NA,0.0132,0.0118,10027,"DRD","MON","13","Chaungzon","130105","Kamarmo",13010504001,"0","0",0,"Kamarmo","0","0","0",97.5210875,16.4621921,2639,964.0182648,"grid",1640720,1457.959128,98,61531.20783,"0.09973%",1,1008875,0.1294588,1,440087.3059,"15.075%",1,27701.22342,1668421.223,628287162,0.1030525,1,"Mon State"
