"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
96196221980354,"Nyapitaw","106",19,5.71,5.27,1,"Ywa Daw(S)",2749,2797,NA,0.0117,0.012,2797,"DRD","Nyapitaw","18","Pyinmana","10604","Ywadaw(S)",0,"0","494",2749,"YwaDaw","10604046","1001","0",96.19622105,19.8035407,698,254.977169,"grid",433620,363.8057135,63,23299.11326,"0.03776%",1,890509,0.1142701,1,397557.6256,"13.618%",1,6912.308557,440532.3086,553952355.5,0.09086,1,"Naypyitaw"
96246292011856,"Naypyitaw","106",19,5.71,5.27,1,"Bogon",3555,4233,NA,0.0117,0.012,4233,"DRD","Nyapitaw","1","Tatkon","10603","Bogon",0,"0","675",3555,"YWATHIT","10603060","227","0",96.246296,20.118565,1148,419.3607306,"grid",713620,1035.830222,85,50828.95471,"0.08238%",1,949254,0.1218083,1,418852.6027,"14.348%",1,19680.77422,733300.7742,591010347.5,0.0969383,1,"Naypyitaw"
96145172015606,"Naypyitaw","106",19,5.71,5.27,1,"Ayechantha",2800,3334,NA,0.0117,0.012,3334,"DRD","Nyapitaw","1","Tatkon","10603","Ayechantha",0,"0","620",2800,"Ayechantha","10603063","620","0",96.145172,20.156062,831,303.5616438,"grid",518420,1150.333424,114,79814.55654,"0.12936%",1,1026927,0.1317753,1,447342.1005,"15.324%",1,21856.33505,540276.3351,639875614.8,0.1049533,1,"Naypyitaw"
96147662022460,"Naypyitaw","106",19,5.71,5.27,1,"Inbin",887,1056,NA,0.0117,0.012,1056,"DRD","Nyapitaw","1","Tatkon","10603","Inbin",0,"0","147",887,"INBIN","10603011","406","0",96.147664,20.224605,266,97.16894977,"grid",166920,1034.885713,168,127563.4514,"0.20675%",1,1117140,0.1433514,1,480503.0137,"16.460%",1,19662.82855,186582.8286,696917640.4,0.1143094,1,"Naypyitaw"
96147622022615,"Naypyitaw","106",19,5.71,5.27,1,"Inbin(N)",1397,1663,NA,0.0117,0.012,1663,"DRD","Nyapitaw","1","Tatkon","10603","Inbin(N)",0,"0","269",1397,"INBIN","10603011","406","0",96.147628,20.226158,416,151.9634703,"grid",259420,172.7268212,169,127736.1782,"0.20703%",1,1117556,0.1434048,1,480600.1826,"16.463%",1,3281.809604,262701.8096,697180342.2,0.1143525,1,"Naypyitaw"
96193472008790,"Naypyitaw","106",19,5.71,5.27,1,"Paukpintha",3124,3719,NA,0.0117,0.012,3719,"DRD","Nyapitaw","1","Tatkon","10603","Paukpintha",0,"0","536",3124,"SHADAW","10603047","884","0",96.193471,20.087909,1006,367.4885845,"grid",625920,1673.793762,170,129409.972,"0.20974%",1,1118562,0.1435339,1,480752.1461,"16.468%",1,31802.08147,657722.0815,697838064.3,0.1144604,1,"Naypyitaw"
96267101981346,"Nyapitaw","106",19,5.71,5.27,1,"Sein ZaBin",1932,1966,NA,0.0117,0.012,1966,"DRD","Nyapitaw","18","Pyinmana","10604","Seinzabin",0,"0","334",1932,"Ma-U-Daw","10604031","710","0",96.26710538,19.81346961,492,179.7260274,"grid",307520,1033.871907,224,182796.1154,"0.29627%",1,1150452,0.147626,1,492589.2237,"16.874%",1,19643.56624,327163.5662,718732391.1,0.1178875,1,"Naypyitaw"
96077761974920,"Nyapitaw","106",19,5.71,5.27,1,"Bugwe",1944,1978,NA,0.0117,0.012,1978,"DRD","Nyapitaw","18","Pyinmana","10604","Bugwe",0,"0","320",1944,"Kaing Gale","10604022","470","0",96.07776934,19.74920149,495,180.8219178,"grid",309320,1148.694631,294,240064.6604,"0.38909%",1,1219116,0.156437,1,517670.8676,"17.733%",1,21825.19798,331145.198,762601397.9,0.1250829,1,"Naypyitaw"
96188962008729,"Naypyitaw","106",19,5.71,5.27,1,"Gwebin",677,806,NA,0.0117,0.012,806,"DRD","Nyapitaw","1","Tatkon","10603","Gwebin",0,"0","111",677,"SHADAW","10603047","884","0",96.188969,20.087297,204,74.52054795,"grid",127220,475.0476235,299,244678.7179,"0.39657%",1,1221102,0.1566918,1,518502.6484,"17.761%",1,9025.904847,136245.9048,763929228.7,0.1253007,1,"Naypyitaw"
96162542024760,"Naypyitaw","106",19,5.71,5.27,1,"Gyogyathahla",1678,1998,NA,0.0117,0.012,1998,"DRD","Nyapitaw","1","Tatkon","10603","Gyogyathahla",0,"0","268",1678,"NYAUNGLUN","10603040","651","0",96.16254,20.247609,499,182.283105,"grid",311720,1306.565166,340,281767.7516,"0.45668%",1,1238616,0.1589392,1,524792.6941,"17.977%",1,24824.73816,336544.7382,775573064.9,0.1272106,1,"Naypyitaw"
