"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
92885552013722,"NULL","0",20,6.2,5.85,1.14,"Sittwe",728529,846321,NA,0.01,0.0106,846321,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",92.885556,20.137222,198503,72512.51142,"grid",123369120,5.527493602,1,5.527493602,"0.00001%",1,198503,0.0254719,1,72512.51142,"2.484%",1,110.549872,123369230.5,123369230.5,0.0202352,1,"Rakhine State"
92367772081888,"NULL","0",20,6.2,5.85,1.14,"Maungdaw",56682,65847,NA,0.01,0.0106,65847,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",92.367778,20.818889,15447,5642.739726,"grid",9600520,5.39797976,2,10.92547336,"0.00002%",1,213950,0.0274541,1,145025.0228,"4.968%",1,107.9595952,9600627.96,132969858.5,0.0218099,1,"Rakhine State"
93188332059194,"NULL","0",20,6.2,5.85,1.14,"Mrauk-U",51949,60348,NA,0.01,0.0106,60348,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",93.188333,20.591944,14158,5171.872146,"grid",8799620,70.28487328,12,486.4596238,"0.00079%",1,452265,0.0580346,1,232551.5982,"7.966%",1,1405.697466,8801025.697,281099000.7,0.0461062,1,"Rakhine State"
94239721885361,"NULL","0",20,6.2,5.85,1.14,"Toungup",29112,33819,NA,0.01,0.0106,33819,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",94.239722,18.853611,7935,2898.630137,"grid",4933320,63.20248507,19,1159.159884,"0.00188%",1,563146,0.0722629,1,275329.3151,"9.431%",1,1264.049701,4934584.05,350031886.6,0.0574127,1,"Rakhine State"
92754162048833,"NULL","0",20,6.2,5.85,1.14,"Rathedaung",29272,34005,NA,0.01,0.0106,34005,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",92.754167,20.488333,7980,2915.068493,"grid",4960320,75.19798342,20,1234.357868,"0.00200%",1,571126,0.0732869,1,278227.9452,"9.531%",1,1503.959668,4961823.96,354993710.6,0.0582266,1,"Rakhine State"
94360831846111,"NULL","0",20,6.2,5.85,1.14,"Thandwe",56941,66147,NA,0.01,0.0106,66147,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",94.360833,18.461111,15518,5668.675799,"grid",9645620,157.0474779,21,1391.405345,"0.00226%",1,586644,0.0752782,1,281143.0137,"9.631%",1,3140.949557,9648760.95,364642471.5,0.0598092,1,"Rakhine State"
92525002087500,"NULL","0",20,6.2,5.85,1.14,"Buthidaung",28790,33445,NA,0.01,0.0106,33445,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",92.525,20.875,7847,2866.484018,"grid",4878020,179.2066436,26,2105.883065,"0.00341%",1,628982,0.080711,1,299411.1416,"10.256%",1,3584.132872,4881604.133,390973592.5,0.064128,1,"Rakhine State"
94241581885453,"Thantwe","0",20,6.2,5.85,1.14,"Wegyi",1149,1335,NA,0.01,0.0106,1335,"DRD","Rakhine","14","Taungup","0","Wegyi",0,"0","0",0,"Wetkyeik","0","0","0",94.24158951,18.85453816,293,107.0319635,"grid",183120,9.583308998,27,2115.466374,"0.00343%",1,629275,0.0807486,1,302277.6256,"10.355%",1,191.66618,183311.6662,391156904.1,0.0641581,1,"Rakhine State"
93858881908777,"NULL","0",20,6.2,5.85,1.14,"Ramree",63716,74018,NA,0.01,0.0106,74018,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",93.858889,19.087778,17364,6343.013699,"grid",10793220,198.0739318,31,2886.67109,"0.00468%",1,662524,0.0850151,1,308187.3973,"10.557%",1,3961.478635,10797181.48,411841240.3,0.0675508,1,"Rakhine State"
92972772084388,"NULL","0",20,6.2,5.85,1.14,"Kyauktaw",82900,96304,NA,0.01,0.0106,96304,"DRD","Rakhine","14","NULL","0","NULL",0,"0","0",0,"NULL","0","0","0",92.972778,20.843889,22591,8252.420091,"grid",14041920,433.9306956,32,3320.601785,"0.00538%",1,685115,0.087914,1,314530.411,"10.774%",1,8678.613913,14050598.61,425891839,0.0698554,1,"Rakhine State"
