"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
94064722318638,"","0",20,6.51,5.41,1.14,"Kale",101340,120775,NA,0.0118,0.0124,120775,"DRD","Sagaing","0","","0","",0,"",NA,NA,"","0",NA,NA,94.064722,23.186389,32315,11804.56621,"grid",20083820,93.68276856,9,368.6741393,"0.00060%",1,424381,0.0544566,1,215732.968,"7.390%",1,1873.655371,20085693.66,263764332.5,0.043263,1,"Sagaing Region"
94297502320222,"","0",20,6.51,5.41,1.14,"Kalewa",8558,10199,NA,0.0118,0.0124,10199,"DRD","Sagaing","0","","0","",0,"",NA,NA,"","0",NA,NA,94.2975,23.202222,2733,998.3561644,"grid",1699620,18.5896599,17,1080.939584,"0.00175%",1,553161,0.0709816,1,273582.1005,"9.372%",1,371.7931979,1699991.793,343822197.2,0.0563942,1,"Sagaing Region"
95599122256592,"Shwebo","0",20,6.51,5.41,1.14,"Seiktha",10525,12544,NA,0.0118,0.0124,12544,"DRD","Sagaing","0","Shwebo","0","Seiktha",0,"1896",NA,10525,"","0",NA,NA,95.599129,22.565923,3360,1227.39726,"grid",2088320,1032.953411,56,18374.38401,"0.02978%",1,879345,0.1128376,1,392507.032,"13.445%",1,20659.06822,2108979.068,546916492.9,0.089706,1,"Sagaing Region"
95529392216161,"Monywa","0",20,6.51,5.41,1.14,"Minywa",4194,4998,NA,0.0118,0.0124,4998,"DRD","Sagaing","0","Ayartaw","0","Minywa",0,"1","325",4194,"","0","325",NA,95.52939,22.161615,1340,489.4977169,"grid",833820,1537.164988,105,68354.4293,"0.11079%",1,1016634,0.1304545,1,443396.1644,"15.189%",1,30743.29976,864563.2998,633247480.4,0.1038661,1,"Sagaing Region"
95341302160802,"Sagaing","0",20,6.51,5.41,1.14,"Pannyo",3955,4714,NA,0.0118,0.0124,4714,"DRD","Sagaing","0","Myaung","0","Pannyo",0,"65","457",3955,"Pannyo","0","298","2228",95.3413,21.608027,1261,460.6392694,"grid",783920,1482.953413,106,69837.38271,"0.11319%",1,1017895,0.1306163,1,443885.6621,"15.205%",1,29659.06826,813579.0683,634061059.5,0.1039996,1,"Sagaing Region"
95642632264390,"Shwebo","0",20,6.51,5.41,1.14,"Nyaunggan_myauk",1400,1668,NA,0.0118,0.0124,1668,"DRD","Sagaing","0","Shwebo","0","Nyaunggan_myauk",0,"219","200",1400,"","0","347",NA,95.642632,22.643902,367,134.0639269,"grid",230020,2041.454436,119,83865.59161,"0.13593%",1,1028730,0.1320066,1,448170.2283,"15.352%",1,40829.08872,270849.0887,641083534.5,0.1051514,1,"Sagaing Region"
95640502263901,"Shwebo","0",20,6.51,5.41,1.14,"Nyaunggan_taung",4463,5319,NA,0.0118,0.0124,5319,"DRD","Sagaing","0","Shwebo","0","Nyaunggan_taung",0,"911",NA,4463,"","0",NA,NA,95.6405,22.639013,1427,521.2785388,"grid",888520,586.011146,120,84451.60276,"0.13688%",1,1030157,0.1321898,1,448304.2922,"15.357%",1,11720.22292,900240.2229,641983774.7,0.1052991,1,"Sagaing Region"
94502982288302,"Kalay","0",20,6.51,5.41,1.14,"Kyundaw",1537,1832,NA,0.0118,0.0124,1832,"DRD","Sagaing","0","Minkin","0","Kyundaw",0,"0","320",1537,"","0","320",NA,94.50298,22.883022,403,147.2146119,"grid",251620,641.3791445,133,99016.94103,"0.16048%",1,1040892,0.1335673,1,452599.8174,"15.504%",1,12827.58289,264447.5829,648952387.4,0.1064421,1,"Sagaing Region"
95263252216988,"Sagaing","0",20,6.51,5.41,1.14,"Kyaukka_myauk",2274,2710,NA,0.0118,0.0124,2710,"DRD","Sagaing","0","Myinmu","0","Kyaukka_myauk",0,"457",NA,2274,"","0","537","2944",95.263256,22.169887,595,217.3515982,"grid",371820,1100.204594,174,133779.5584,"0.21683%",1,1120966,0.1438424,1,481780.4566,"16.503%",1,22004.09189,393824.0919,699421366.6,0.11472,1,"Sagaing Region"
94090752317184,"Kalay","0",20,6.51,5.41,1.14,"Taung_u",767,914,NA,0.0118,0.0124,914,"DRD","Sagaing","0","Kalay","0","Taung_u",0,"0","140",767,"Taung_u","0","249","1478",94.090757,23.171849,203,74.15525114,"grid",126620,389.7646315,186,149239.2568,"0.24188%",1,1131158,0.1451502,1,485646.758,"16.636%",1,7795.292631,134415.2926,706061030.7,0.1158091,1,"Sagaing Region"
