"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
99598222127008,"kyaington","1701",20,5.44,5.2,1.14,"Wanhturam",203,224,NA,0.0066,0.0114,224,"DRD","Shan(e)","17","kyaington","170101","Wanhturam",17010120026,"41","41",203,"Mong sem","17010120","1636","7947",99.5982216,21.2700843,53,19.36073059,"grid",34120,1494.822814,11440,12504019.11,"20.26623%",2,4114804,0.5280117,3,1575617.9,"53.973%",3,29896.45629,64016.45629,2810004766,0.4609008,3,"Shan State (East)"
99608732126627,"kyaington","1701",20,5.44,5.2,1.14,"Tinhtet(arkha)",64,71,NA,0.0066,0.0114,71,"DRD","Shan(e)","17","kyaington","170101","Tinhtet(arkha)",17010120008,"14","14",64,"Mong sem","17010120","1636","7947",99.6087321,21.2662712,19,6.940639269,"grid",13720,1168.739798,11441,12505187.85,"20.26813%",2,4114823,0.5280141,3,1575637.26,"53.974%",3,23374.79596,37094.79596,2810041861,0.4609069,3,"Shan State (East)"
99613522125941,"kyaington","1701",20,5.44,5.2,1.14,"Wanpon",302,333,NA,0.0066,0.0114,333,"DRD","Shan(e)","17","kyaington","170101","Wanpon",17010120015,"55","55",302,"Mong sem","17010120","1636","7947",99.6135202,21.2594177,78,28.49315068,"grid",49120,909.3646105,11442,12506097.21,"20.26960%",2,4114901,0.5280241,3,1575644.201,"53.974%",3,18187.29221,67307.29221,2810109168,0.4609179,3,"Shan State (East)"
99622812125857,"kyaington","1701",20,5.44,5.2,1.14,"Panghang",469,518,NA,0.0066,0.0114,518,"DRD","Shan(e)","17","kyaington","170101","Panghang",17010120019,"131","131",469,"Mong sem","17010120","1636","7947",99.6228147,21.2585727,119,43.47031963,"grid",76220,967.7461411,11443,12507064.96,"20.27117%",2,4115020,0.5280394,3,1575672.694,"53.975%",3,19354.92282,95574.92282,2810204743,0.4609336,3,"Shan State (East)"
99623932125311,"kyaington","1701",20,5.44,5.2,1.14,"Naungnoon(shan)",363,401,NA,0.0066,0.0114,401,"DRD","Shan(e)","17","kyaington","170101","Naungnoon(shan)",17010120030,"57","57",363,"Mong sem","17010120","1636","7947",99.6239395,21.2531166,93,33.97260274,"grid",58120,617.7878096,11444,12507682.74,"20.27217%",2,4115113,0.5280513,3,1575716.164,"53.976%",3,12355.75619,70475.75619,2810275219,0.4609452,3,"Shan State (East)"
99624042125163,"kyaington","1701",20,5.44,5.2,1.14,"Wankaung",164,181,NA,0.0066,0.0114,181,"DRD","Shan(e)","17","kyaington","170101","Wankaung",17010120003,"37","37",164,"Mong sem","17010120","1636","7947",99.6240426,21.2516335,45,16.43835616,"grid",29320,165.2591912,11445,12507848,"20.27244%",2,4115158,0.5280571,3,1575750.137,"53.978%",3,3305.183824,32625.18382,2810307844,0.4609505,3,"Shan State (East)"
99626512125077,"kyaington","1701",20,5.44,5.2,1.14,"Naungnon",318,351,NA,0.0066,0.0114,351,"DRD","Shan(e)","17","kyaington","170101","Naungnon",17010120001,"58","58",318,"Mong sem","17010120","1636","7947",99.6265145,21.2507779,82,29.9543379,"grid",51520,273.2685633,11446,12508121.27,"20.27288%",2,4115240,0.5280676,3,1575766.575,"53.978%",3,5465.371266,56985.37127,2810364829,0.4609599,3,"Shan State (East)"
99628042124936,"kyaington","1701",20,5.44,5.2,1.14,"Naungnoon (kwethit)",304,335,NA,0.0066,0.0114,335,"DRD","Shan(e)","17","kyaington","170101","Naungnoon (kwethit)",17010120021,"65","65",304,"Mong sem","17010120","1636","7947",99.6280447,21.2493638,79,28.85844749,"grid",49720,223.3224375,11447,12508344.59,"20.27324%",2,4115319,0.5280778,3,1575796.53,"53.979%",3,4466.448749,54186.44875,2810419016,0.4609688,3,"Shan State (East)"
99624802124925,"kyaington","1701",20,5.44,5.2,1.14,"Naungbokaung",317,350,NA,0.0066,0.0114,350,"DRD","Shan(e)","17","kyaington","170101","Naungbokaung",17010120005,"63","63",317,"Mong sem","17010120","1636","7947",99.6248032,21.2492567,81,29.5890411,"grid",50920,245.0811474,11448,12508589.68,"20.27364%",2,4115400,0.5280882,3,1575825.388,"53.980%",3,4901.622948,55821.62295,2810474837,0.4609779,3,"Shan State (East)"
99625222124891,"kyaington","1701",20,5.44,5.2,1.14,"Naungnon(lahu)",290,320,NA,0.0066,0.0114,320,"DRD","Shan(e)","17","kyaington","170101","Naungnon(lahu)",17010120007,"58","58",290,"Mong sem","17010120","1636","7947",99.6252201,21.2489199,76,27.76255708,"grid",47920,57.17746893,11449,12508646.85,"20.27373%",2,4115476,0.5280979,3,1575854.977,"53.981%",3,1143.549379,49063.54938,2810523901,0.460986,3,"Shan State (East)"
99628542123801,"kyaington","1701",20,5.44,5.2,1.14,"Gyophyu",511,564,NA,0.0066,0.0114,564,"DRD","Shan(e)","17","kyaington","170101","Gyophyu",17010120010,"118","118",511,"Mong sem","17010120","1636","7947",99.6285417,21.238012,130,47.48858447,"grid",82820,1260.811464,11450,12509907.66,"20.27578%",2,4115606,0.5281146,3,1575882.74,"53.982%",3,25216.22928,108036.2293,2810631937,0.4610037,3,"Shan State (East)"
99623472123632,"kyaington","1701",20,5.44,5.2,1.14,"Yanlu(lankhwe')",405,447,NA,0.0066,0.0114,447,"DRD","Shan(e)","17","kyaington","170101","Yanlu(lankhwe')",17010120004,"86","86",405,"Mong sem","17010120","1636","7947",99.6234722,21.236327,104,37.99086758,"grid",64720,557.8291265,11451,12510465.49,"20.27668%",2,4115710,0.5281279,3,1575930.228,"53.984%",3,11156.58253,75876.58253,2810707814,0.4610161,3,"Shan State (East)"
99622152123707,"kyaington","1701",20,5.44,5.2,1.14,"Yanlu",274,302,NA,0.0066,0.0114,302,"DRD","Shan(e)","17","kyaington","170101","Yanlu",17010120018,"51","51",274,"Mong sem","17010120","1636","7947",99.6221575,21.2370732,72,26.30136986,"grid",45520,159.5357915,11452,12510625.03,"20.27694%",2,4115782,0.5281372,3,1575968.219,"53.985%",3,3190.71583,48710.71583,2810756525,0.4610241,3,"Shan State (East)"
99631632123068,"kyaington","1701",20,5.44,5.2,1.14,"Ketsem",469,518,NA,0.0066,0.0114,518,"DRD","Shan(e)","17","kyaington","170101","Ketsem",17010120020,"131","131",469,"Mong sem","17010120","1636","7947",99.6316399,21.2306891,119,43.47031963,"grid",76220,875.300837,12680,13957547.42,"22.62208%",2,4345963,0.557674,3,1660035.434,"56.865%",3,17506.01674,93726.01674,2983077771,0.4892885,3,"Shan State (East)"
99638492123510,"kyaington","1701",20,5.44,5.2,1.14,"Naungho(arkha)",83,92,NA,0.0066,0.0114,92,"DRD","Shan(e)","17","kyaington","170101","Naungho(arkha)",17010120014,"18","18",83,"Mong sem","17010120","1636","7947",99.6384934,21.2351016,23,8.401826484,"grid",16120,863.3208446,13833,15354068.31,"24.88553%",2,4569812,0.5863983,3,1741841.826,"59.667%",3,17266.41689,33386.41689,3150591190,0.5167643,3,"Shan State (East)"
99638862123895,"kyaington","1701",20,5.44,5.2,1.14,"Pinsai(shan)",113,125,NA,0.0066,0.0114,125,"DRD","Shan(e)","17","kyaington","170101","Pinsai(shan)",17010120017,"25","25",113,"Mong sem","17010120","1636","7947",99.6388689,21.2389509,30,10.95890411,"grid",20320,429.7889893,13834,15354498.1,"24.88622%",2,4569842,0.5864022,3,1741850.228,"59.667%",3,8595.779785,28915.77979,3150620106,0.516769,3,"Shan State (East)"
99637352124070,"kyaington","1701",20,5.44,5.2,1.14,"Pimsai (wa)",278,307,NA,0.0066,0.0114,307,"DRD","Shan(e)","17","kyaington","170101","Pimsai (wa)",17010120002,"53","53",278,"Mong sem","17010120","1636","7947",99.6373526,21.2407003,73,26.66666667,"grid",46120,250.0733387,13835,15354748.18,"24.88663%",2,4569915,0.5864115,3,1741861.187,"59.668%",3,5001.466774,51121.46677,3150671227,0.5167774,3,"Shan State (East)"
99645622123397,"kyaington","1701",20,5.44,5.2,1.14,"Hokho",144,159,NA,0.0066,0.0114,159,"DRD","Shan(e)","17","kyaington","170101","Hokho",17010120013,"70","70",144,"Mong sem","17010120","1636","7947",99.6456286,21.233975,41,14.97716895,"grid",26920,750.0671176,13836,15355498.24,"24.88785%",2,4569956,0.5864168,3,1741887.854,"59.669%",3,15001.34235,41921.34235,3150713149,0.5167843,3,"Shan State (East)"
99646912123059,"kyaington","1701",20,5.44,5.2,1.14,"Wanpaung",247,273,NA,0.0066,0.0114,273,"DRD","Shan(e)","17","kyaington","170101","Wanpaung",17010120024,"50","50",247,"Mong sem","17010120","1636","7947",99.6469182,21.2305944,64,23.37899543,"grid",40720,398.9628246,13837,15355897.21,"24.88849%",2,4570020,0.586425,3,1741902.831,"59.669%",3,7979.256492,48699.25649,3150761848,0.5167923,3,"Shan State (East)"
99646842122252,"kyaington","1701",20,5.44,5.2,1.14,"Wanpon",141,156,NA,0.0066,0.0114,156,"DRD","Shan(e)","17","kyaington","170101","Wanpon",17010120009,"21","21",141,"Mong sem","17010120","1636","7947",99.6468491,21.2225211,40,14.61187215,"grid",26320,897.739977,13838,15356794.95,"24.88995%",2,4570060,0.5864301,3,1741926.21,"59.670%",3,17954.79954,44274.79954,3150806123,0.5167995,3,"Shan State (East)"
99658482121514,"kyaington","1701",20,5.44,5.2,1.14,"Wanlone",297,328,NA,0.0066,0.0114,328,"DRD","Shan(e)","17","kyaington","170101","Wanlone",17010120023,"56","56",297,"Mong sem","17010120","1636","7947",99.6584837,21.2151484,77,28.12785388,"grid",48520,1458.262394,13839,15358253.21,"24.89231%",2,4570137,0.58644,3,1741940.822,"59.670%",3,29165.24789,77685.24789,3150883808,0.5168123,3,"Shan State (East)"
99659012121393,"kyaington","1701",20,5.44,5.2,1.14,"Nantbawor.",217,239,NA,0.0066,0.0114,239,"DRD","Shan(e)","17","kyaington","170101","Nantbawor.",17010120025,"44","44",217,"Mong sem","17010120","1636","7947",99.6590163,21.213931,55,20.0913242,"grid",35320,146.1943619,13840,15358399.4,"24.89255%",2,4570192,0.5864471,3,1741968.95,"59.671%",3,2923.887239,38243.88724,3150922052,0.5168185,3,"Shan State (East)"
99660992121043,"kyaington","1701",20,5.44,5.2,1.14,"Wanlone(wa)",93,103,NA,0.0066,0.0114,103,"DRD","Shan(e)","17","kyaington","170101","Wanlone(wa)",17010120029,"17","17",93,"Mong sem","17010120","1636","7947",99.6609946,21.2104309,25,9.132420091,"grid",17320,439.9169712,13841,15358839.32,"24.89326%",2,4570217,0.5864503,3,1741989.041,"59.672%",3,8798.339423,26118.33942,3150948170,0.5168228,3,"Shan State (East)"
99662732120866,"kyaington","1701",20,5.44,5.2,1.14,"Mongsem(up)",309,341,NA,0.0066,0.0114,341,"DRD","Shan(e)","17","kyaington","170101","Mongsem(up)",17010120006,"60","60",309,"Mong sem","17010120","1636","7947",99.6627368,21.2086611,80,29.22374429,"grid",50320,267.1040477,13842,15359106.42,"24.89369%",2,4570297,0.5864605,3,1741998.174,"59.672%",3,5342.080954,55662.08095,3151003832,0.5168319,3,"Shan State (East)"
99663842120994,"kyaington","1701",20,5.44,5.2,1.14,"Mongsem(low)",472,521,NA,0.0066,0.0114,521,"DRD","Shan(e)","17","kyaington","170101","Mongsem(low)",17010120011,"91","91",472,"Mong sem","17010120","1636","7947",99.6638421,21.2099407,120,43.83561644,"grid",76820,182.6840465,13843,15359289.11,"24.89399%",2,4570417,0.5864759,3,1742027.397,"59.673%",3,3653.680931,80473.68093,3151084306,0.5168451,3,"Shan State (East)"
99666242120761,"kyaington","1701",20,5.44,5.2,1.14,"Mokesoonmai",324,358,NA,0.0066,0.0114,358,"DRD","Shan(e)","17","kyaington","170101","Mokesoonmai",17010120031,"",NA,324,"Mong sem","17010120","","7947",99.6662447,21.2076156,83,30.3196347,"grid",52120,358.9914354,13844,15359648.1,"24.89457%",2,4570500,0.5864866,3,1742071.233,"59.675%",3,7179.828709,59299.82871,3151143606,0.5168549,3,"Shan State (East)"
99666012120677,"kyaington","1701",20,5.44,5.2,1.14,"Wasem",94,104,NA,0.0066,0.0114,104,"DRD","Shan(e)","17","kyaington","170101","Wasem",17010120027,"15","15",94,"Mong sem","17010120","1636","7947",99.6660164,21.2067787,25,9.132420091,"grid",17320,96.02146749,13845,15359744.12,"24.89473%",2,4570525,0.5864898,3,1742101.553,"59.676%",3,1920.42935,19240.42935,3151162846,0.516858,3,"Shan State (East)"
99619742123452,"kyaington","1701",20,5.44,5.2,1.14,"hwekyan",124,137,NA,0.0066,0.0114,137,"DRD","Shan(e)","17","kyaington","170101","hwekyan",17010118006,"23","23",124,"Mongkhon","17010118","838","3800",99.6197481,21.2345269,34,12.42009132,"grid",22720,377.5273464,19908,22721536.81,"36.82655%",2,5619969,0.7211545,4,2125456.804,"72.808%",4,7550.546928,30270.54693,3952228114,0.6482498,4,"Shan State (East)"
99597182130251,"kyaington","1701",20,5.44,5.2,1.14,"Meikzali",101,111,NA,0.0066,0.0114,111,"DRD","Shan(e)","17","kyaington","170101","Meikzali",17010115008,"17","17",101,"Yanlaw","17010115","767","4914",99.5971885,21.302517,26,9.497716895,"grid",17920,1339.608788,29168,36244400.24,"58.74411%",3,6893673,0.8845962,5,2590739.726,"88.746%",5,26792.17576,44712.17576,5017211901,0.8229299,5,"Shan State (East)"
99595832130442,"kyaington","1701",20,5.44,5.2,1.14,"Hokho",277,306,NA,0.0066,0.0114,306,"DRD","Shan(e)","17","kyaington","170101","Hokho",17010115014,"39","39",277,"Yanlaw","17010115","767","4914",99.5958365,21.3044257,73,26.66666667,"grid",46120,254.2886486,29169,36244654.53,"58.74452%",3,6893746,0.8846055,5,2590749.224,"88.746%",5,5085.772971,51205.77297,5017263107,0.8229383,5,"Shan State (East)"
99599012131524,"kyaington","1701",20,5.44,5.2,1.14,"Wanna",159,175,NA,0.0066,0.0114,175,"DRD","Shan(e)","17","kyaington","170101","Wanna",17010115003,"22","22",159,"Yanlaw","17010115","767","4914",99.5990177,21.3152419,44,16.07305936,"grid",28720,1247.040479,29170,36245901.57,"58.74654%",3,6893790,0.8846112,5,2590775.89,"88.747%",5,24940.80959,53660.80959,5017316768,0.8229471,5,"Shan State (East)"
99602192131937,"kyaington","1701",20,5.44,5.2,1.14,"Hpai-weng",534,589,NA,0.0066,0.0114,589,"DRD","Shan(e)","17","kyaington","170101","Hpai-weng",17010115018,"96","96",534,"Yanlaw","17010115","767","4914",99.6021989,21.3193775,135,49.31506849,"grid",85820,565.7394063,29171,36246467.31,"58.74746%",3,6893925,0.8846285,5,2590791.963,"88.748%",5,11314.78813,97134.78813,5017413902,0.8229631,5,"Shan State (East)"
