"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
97901662399000,"","",20,6.98,5.59,1.14,"Muse",135720,149771,NA,0.0066,0.0114,149771,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",97.901667,23.99,37648,13752.69406,"grid",23398620,58.75990359,5,147.5601867,"0.00024%",1,335697,0.0430766,1,181388.8584,"6.213%",1,1175.198072,23399795.2,208640289.6,0.0342215,1,"Shan State (North)"
96629162347305,"","",20,6.98,5.59,1.14,"Mabein",2827,3120,NA,0.0066,0.0114,3120,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",96.629167,23.473056,547,199.8173516,"grid",340520,3.043861986,13,489.5034858,"0.00079%",1,452812,0.0581048,1,237723.4703,"8.143%",1,60.87723971,340580.8772,281439581.6,0.0461621,1,"Shan State (North)"
97681662383694,"","",20,6.98,5.59,1.14,"Nanhkan",103310,114006,NA,0.0066,0.0114,114006,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",97.681667,23.836944,28659,10469.0411,"grid",17812720,179.7909943,16,1062.349924,"0.00172%",1,550428,0.0706309,1,263113.0594,"9.013%",1,3595.819886,17816315.82,342122205.4,0.0561154,1,"Shan State (North)"
98396662249805,"","",20,6.98,5.59,1.14,"Tangyan",30256,33388,NA,0.0066,0.0114,33388,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",98.396667,22.498056,8396,3067.031963,"grid",5219920,596.4762405,35,4270.22645,"0.00692%",1,699109,0.0897097,1,324827.7626,"11.127%",1,11929.52481,5231849.525,434611672.6,0.0712856,1,"Shan State (North)"
98036762242758,"Lashio","1501",20,6.98,5.59,1.14,"Mankang",26,29,NA,0.0066,0.0114,29,"DRD","Shan (North)","15","Mongyai","150104","Mankang",15010415006,"","7",26,"Na Hko","15010415","275","1285",98.0367639,22.4275804,9,3.287671233,"grid",7720,700.3258012,37,5251.510255,"0.00851%",1,702888,0.0901946,1,329271.9635,"11.279%",1,14006.51602,21726.51602,436983057.3,0.0716746,1,"Shan State (North)"
98039442242361,"","",20,6.98,5.59,1.14,"Mongyai",50050,55232,NA,0.0066,0.0114,55232,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",98.039444,22.423611,13886,5072.511416,"grid",8631420,520.290216,38,5771.800471,"0.00935%",1,716774,0.0919764,1,329275.2511,"11.279%",1,10405.80432,8641825.804,445624883.1,0.073092,1,"Shan State (North)"
96670002311416,"","",20,6.98,5.59,1.14,"Mongmit",12398,13682,NA,0.0066,0.0114,13682,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",96.67,23.114167,3442,1257.351598,"grid",2140020,273.4741735,45,12134.85827,"0.01967%",1,776221,0.0996047,1,354806.21,"12.154%",1,5469.483471,2145489.483,482696482.3,0.0791725,1,"Shan State (North)"
97400552309361,"","",20,6.98,5.59,1.14,"Namtu",59650,65826,NA,0.0066,0.0114,65826,"DRD","Shan (North)","15","","","",NA,"","",NA,"","","","",97.400556,23.093611,16549,6045.296804,"grid",10286720,2092.913078,74,39050.30828,"0.06329%",1,932916,0.1197118,1,407258.4475,"13.951%",1,41858.26156,10328578.26,580619919.9,0.0952341,1,"Shan State (North)"
97396032308759,"kyaukme","1503",20,6.98,5.59,1.14,"Namtu",9418,10393,NA,0.0066,0.0114,10393,"DRD","Shan (North)","15","namtu","150308","Namtu",15030801002,"","1250",9418,"namtumyo","","2624","17731",97.3960305,23.087597,2616,955.6164384,"grid",1626920,813.3090659,75,39863.61735,"0.06461%",1,935532,0.1200475,1,413303.7443,"14.158%",1,16266.18132,1643186.181,582263106.1,0.0955036,1,"Shan State (North)"
96669922311636,"Kyaukme","1503",20,6.98,5.59,1.14,"Swesarli",1350,1490,NA,0.0066,0.0114,1490,"DRD","Shan (North)","15","Momeik","150310","Swesarli",15031009001,"","234",1350,"Swesarli","15031009","649","3364",96.6699231,23.1163692,263,96.07305936,"grid",165120,245.0001197,88,54176.78113,"0.08781%",1,953494,0.1223524,1,420724.7489,"14.412%",1,4900.002395,170020.0024,593715161.2,0.097382,1,"Shan State (North)"
