"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
97250552015777,"","",19,6.05,5.46,1,"Hsihseng",10168,11221,NA,0.0066,0.0114,11221,"DRD","Shan (S)","16","","","",NA,"","",NA,"","","","",97.250556,20.157778,2891,1056.073059,"grid",1796920,186.0156824,34,3673.75021,"0.00595%",1,690713,0.0886323,1,323771.6895,"11.091%",1,3534.297966,1800454.298,429379823,0.0704275,1,"Shan State (South)"
98423882130111,"","",19,6.05,5.46,1,"Kunhing",9377,10348,NA,0.0066,0.0114,10348,"DRD","Shan (S)","16","","","",NA,"","",NA,"","","","",98.423889,21.301111,2667,974.2465753,"grid",1657520,316.5320641,44,11861.3841,"0.01922%",1,772779,0.099163,1,353831.9635,"12.121%",1,6014.109217,1663534.109,480550992.8,0.0788206,1,"Shan State (South)"
98106812164768,"Taunggyi","1601",19,6.05,5.46,1,"Nar Lin Ling",280,309,NA,0.0066,0.0114,309,"DRD","Shan (S)","16","KyiThe","160211","Nar Lin Ling",16021111009,"28","28",280,"Nar Kan","16021111","272","3023",98.1068128,21.6476833,66,24.10958904,"grid",41920,94.86089338,118,81824.13717,"0.13262%",1,1028363,0.1319595,1,448146.1187,"15.351%",1,1802.356974,43722.35697,640812685.4,0.105107,1,"Shan State (South)"
98131662110696,"Loilem","1602",19,6.05,5.46,1,"Nam Lin",764,843,NA,0.0066,0.0114,843,"DRD","Shan (S)","16","NamSan","160202","Nam Lin",16020206002,"114","114",764,"Ho Naung","16020206","783","4847",98.1316699,21.1069697,173,63.19634703,"grid",108620,321.0550634,180,141994.3846,"0.23014%",1,1126919,0.1446063,1,484109.2237,"16.583%",1,6100.046204,114720.0462,703283168.3,0.1153535,1,"Shan State (South)"
98334682190449,"Loi Lem","1602",19,6.05,5.46,1,"Hkay Ninn",109,120,NA,0.0066,0.0114,120,"DRD","Shan (S)","16","Mai Shue","160208","Hkay Ninn",16020802006,"25","25",109,"Nar San","16020802","245","1509",98.3346831,21.9044938,25,9.132420091,"grid",17320,56.61878744,267,209102.9218,"0.33891%",1,1163831,0.1493428,1,497647.1233,"17.047%",1,1075.756961,18395.75696,727596892.7,0.1193414,1,"Shan State (South)"
96512202105297,"Taunggyi","1601",19,6.05,5.46,1,"Myaing",1334,1472,NA,0.0066,0.0114,1472,"DRD","Shan (S)","16","YwaNgan","160109","Myaing",16010913001,"251","251",1334,"Myaing","16010913","679","3842",96.5122079,21.0529727,299,109.2237443,"grid",186720,1169.566479,1251,1174373.537,"1.90340%",1,1643953,0.2109521,2,672934.0639,"23.051%",2,22221.76311,208941.7631,1045715065,0.1715196,1,"Shan State (South)"
98092592137977,"Taunggyi","1601",19,6.05,5.46,1,"Naung Pan",450,497,NA,0.0066,0.0114,497,"DRD","Shan (S)","16","KyiThe","160211","Naung Pan",16021129002,"54","54",450,"Mine Yam","16021129","306","2236",98.0925999,21.3797738,103,37.62557078,"grid",64120,703.7338904,2175,2160422.119,"3.50156%",1,1953959,0.250732,2,786249.863,"26.933%",2,13370.94392,77490.94392,1258371486,0.2063998,2,"Shan State (South)"
98094392136300,"Taunggyi","1601",19,6.05,5.46,1,"Wam Sing Ywyar Ma",2749,3034,NA,0.0066,0.0114,3034,"DRD","Shan (S)","16","KyiThe","160211","Wam Sing Ywyar Ma",16021128001,"215","215",2749,"Wam Sein","16021128","544","5582",98.0943999,21.363005,614,224.2922374,"grid",383220,1873.901052,2176,2162296.02,"3.50460%",1,1954573,0.2508108,2,786287.4886,"26.934%",2,35604.11999,418824.12,1258790310,0.2064685,2,"Shan State (South)"
96592532090757,"Taunggyi","1601",19,6.05,5.46,1,"Ya Kyi",1518,1675,NA,0.0066,0.0114,1675,"DRD","Shan (S)","16","YwaNgan","160109","Ya Kyi",16010905001,"269","269",1518,"Ya Kyi","16010905","551","3146",96.592531,20.9075754,341,124.56621,"grid",211920,1665.735196,2319,2315426.575,"3.75279%",1,2018204,0.258976,2,809631.4155,"27.734%",2,31648.96872,243568.9687,1301408532,0.2134588,2,"Shan State (South)"
96558032099754,"Taunggyi","1601",19,6.05,5.46,1,"Ale Chaung",1211,1336,NA,0.0066,0.0114,1336,"DRD","Shan (S)","16","YwaNgan","160109","Ale Chaung",16010921001,"179","179",1211,"Ale Chaung","16010921","519","3062",96.5580306,20.9975433,272,99.36073059,"grid",170520,1410.202948,2670,2734262.358,"4.43163%",1,2123354,0.2724688,2,848067.5799,"29.051%",2,26793.856,197313.856,1375204251,0.2255629,2,"Shan State (South)"
96768822012059,"Taunggyi","1601",19,6.05,5.46,1,"Pin Laung Kyi Anout",341,376,NA,0.0066,0.0114,376,"DRD","Shan (S)","16","Pin Laung","160108","Pin Laung Kyi Anout",16010801002,"80","80",341,"Pin Laung","16010801","506","2335",96.76882,20.12059,78,28.49315068,"grid",49120,1683.528106,2820,2897232.697,"4.69577%",1,2162759,0.2775253,2,862532.968,"29.546%",2,31987.03402,81107.03402,1403007986,0.2301233,2,"Shan State (South)"
96774752011867,"Taunggyi","1601",19,6.05,5.46,1,"Pin Laung Kyi Ashae",449,495,NA,0.0066,0.0114,495,"DRD","Shan (S)","16","Pin Laung","160108","Pin Laung Kyi Ashae",16010801003,"95","95",449,"Pin Laung","16010801","506","2335",96.77475,20.11867,102,37.26027397,"grid",63520,654.9238219,2821,2897887.621,"4.69683%",1,2162861,0.2775383,2,862561.4612,"29.547%",2,12443.55262,75963.55262,1403083950,0.2301357,2,"Shan State (South)"
