"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
98196381407750,"","",20,6.09,5.56,1.14,"Dawei",68314,81897,NA,0.0122,0.0168,81897,"DRD","Tanintharyi","8","","","",0,"0","0",NA,"","","0","0",98.196389,14.0775,24284,8870.86758,"grid",15092720,414.789232,25,1926.676421,"0.00312%",1,621135,0.079704,1,290540.274,"9.952%",1,8295.78464,15101015.78,386091988.3,0.0633273,1,"Tanintharyi Region"
98169631408260,"Dawei","801",20,6.09,5.56,1.14,"Kamyawgyi",1404,1683,NA,0.0122,0.0168,1683,"DRD","Tanintharyi","8","Longlon","80102","Kamyawgyi",0,"0","0",1404,"Kamyawgyi","8010225","0","0",98.169634,14.082604,401,146.4840183,"grid",250420,152.7505442,58,19021.66808,"0.03083%",1,881087,0.1130611,1,394224.2922,"13.504%",1,3055.010883,253475.0109,548013784.1,0.089886,1,"Tanintharyi Region"
98161621407500,"Dawei","801",20,6.09,5.56,1.14,"Thayagon",1188,1424,NA,0.0122,0.0168,1424,"DRD","Tanintharyi","8","Longlon","80102","Thayagon",0,"0","0",1188,"Thayagon

","8010224","0","0",98.161629,14.075003,340,124.2009132,"grid",211320,692.4434016,590,507909.8627,"0.82321%",1,1340353,0.1719941,1,562014.9772,"19.252%",1,13848.86803,225168.868,843472196.8,0.1383475,1,"Tanintharyi Region"
98233621408308,"dawei","801",20,6.09,5.56,1.14,"Zalun",1724,2067,NA,0.0122,0.0168,2067,"DRD","Tanintharyi","8","dawei","80101","Zalun",0,"0","0",1724,"Zalun","8010104","0","0",98.23362,14.083088,492,179.7260274,"grid",307520,620.8619717,1410,1335014.964,"2.16376%",1,1692237,0.2171479,2,690501.5525,"23.653%",2,12417.23943,319937.2394,1078996378,0.1769785,1,"Tanintharyi Region"
98242531407991,"dawei","801",20,6.09,5.56,1.14,"Talinetaung",1410,1690,NA,0.0122,0.0168,1690,"DRD","Tanintharyi","8","dawei","80101","Talinetaung",0,"0","0",1410,"Talinetaung","8010105","0","0",98.242539,14.079915,403,147.2146119,"grid",251620,1024.610515,1500,1428741.95,"2.31567%",1,1727383,0.2216578,2,703372.7854,"24.094%",2,20492.21031,272112.2103,1102721747,0.1808699,1,"Tanintharyi Region"
98245111407794,"dawei","801",20,6.09,5.56,1.14,"Kathan",450,539,NA,0.0122,0.0168,539,"DRD","Tanintharyi","8","dawei","80101","Kathan",0,"0","0",450,"Talinetaung","8010105","0","0",98.245113,14.07794,131,47.85388128,"grid",83420,353.9785869,1511,1441495.467,"2.33634%",1,1730811,0.2220977,2,704724.3836,"24.140%",2,7079.571739,90499.57174,1105107411,0.1812612,1,"Tanintharyi Region"
98236641406949,"dawei","801",20,6.09,5.56,1.14,"Pauktine",670,803,NA,0.0122,0.0168,803,"DRD","Tanintharyi","8","dawei","80101","Pauktine",0,"0","0",670,"Kyaukyet","8010117","0","0",98.236642,14.069491,193,70.50228311,"grid",120620,1310.50058,1512,1442805.968,"2.33847%",1,1731004,0.2221224,2,704772.2374,"24.142%",2,26210.0116,146830.0116,1105254241,0.1812853,1,"Tanintharyi Region"
98236641406625,"dawei","801",20,6.09,5.56,1.14,"Wamaw",353,423,NA,0.0122,0.0168,423,"DRD","Tanintharyi","8","dawei","80101","Wamaw",0,"0","0",353,"Kyuakyet","8010118","0","0",98.236642,14.066259,103,37.62557078,"grid",64120,359.3825704,1513,1443165.35,"2.33905%",1,1731107,0.2221357,2,704842.7397,"24.144%",2,7187.651407,71307.65141,1105325549,0.181297,1,"Tanintharyi Region"
98228511406733,"dawei","801",20,6.09,5.56,1.14,"Kyaukyet",751,900,NA,0.0122,0.0168,900,"DRD","Tanintharyi","8","dawei","80101","Kyaukyet",0,"0","0",751,"Kyaukyet","8010117","0","0",98.228519,14.067336,216,78.90410959,"grid",134420,884.2990761,1514,1444049.649,"2.34048%",1,1731323,0.2221634,2,704880.3653,"24.146%",2,17685.98152,152105.9815,1105477655,0.181322,1,"Tanintharyi Region"
98225941405896,"dawei","801",20,6.09,5.56,1.14,"Shwettaung",267,320,NA,0.0122,0.0168,320,"DRD","Tanintharyi","8","dawei","80101","Shwettaung",0,"0","0",267,"Kutuo","8010120","0","0",98.225949,14.058964,79,28.85844749,"grid",49720,971.3215127,1515,1445020.971,"2.34206%",1,1731402,0.2221735,2,704959.2694,"24.148%",2,19426.43025,69146.43025,1105546801,0.1813333,1,"Tanintharyi Region"
98224871405879,"dawei","801",20,6.09,5.56,1.14,"Shwegutaung",206,247,NA,0.0122,0.0168,247,"DRD","Tanintharyi","8","dawei","80101","Shwegutaung",0,"0","0",206,"Shinmotte","8010122","0","0",98.224872,14.058799,62,22.64840183,"grid",39520,117.6098465,1516,1445138.581,"2.34225%",1,1731464,0.2221815,2,704988.1279,"24.149%",2,2352.196931,41872.19693,1105588673,0.1813402,1,"Tanintharyi Region"
98227771405307,"dawei","801",20,6.09,5.56,1.14,"zungngyinpyin",88,105,NA,0.0122,0.0168,105,"DRD","Tanintharyi","8","dawei","80101","zungngyinpyin",0,"0","0",88,"Kutuo","8010120","0","0",98.227773,14.053079,28,10.2283105,"grid",19120,683.3204131,1517,1445821.901,"2.34336%",1,1731492,0.2221851,2,705010.7763,"24.150%",2,13666.40826,32786.40826,1105621460,0.1813455,1,"Tanintharyi Region"
98226281404893,"dawei","801",20,6.09,5.56,1.14,"Kuto",1004,1204,NA,0.0122,0.0168,1204,"DRD","Tanintharyi","8","dawei","80101","Kuto",0,"0","0",1004,"Kutuo","8010120","0","0",98.226281,14.048935,288,105.2054795,"grid",180120,488.0892991,1518,1446309.99,"2.34415%",1,1731780,0.222222,2,705021.0046,"24.151%",2,9761.785983,189881.786,1105811342,0.1813767,1,"Tanintharyi Region"
98224871403965,"dawei","801",20,6.09,5.56,1.14,"Alalkone",599,718,NA,0.0122,0.0168,718,"DRD","Tanintharyi","8","dawei","80101","Alalkone",0,"0","0",599,"Kaninedar","8010121","0","0",98.224872,14.039651,173,63.19634703,"grid",108620,1043.464119,1519,1447353.454,"2.34584%",1,1731953,0.2222442,2,705126.21,"24.154%",2,20869.28238,129489.2824,1105940831,0.1813979,1,"Tanintharyi Region"
