"XYID","District","District_c","Gr_ml_cm","Ho_size_r","Ho_size_u","Mg_fl_cl","Name.x","Pop_2001","Pop_2011","Pop_2013","Pop_g_r","Pop_g_u","Population","Source","State","State_code","Township","Township_c","Village","Village_co","Village_fa","Village_hh","Village_po","Villagetra","Vt_code","Vt_hh","Vt_pop","X","Y","Demand..household....Target.household.count","Demand..peak....Projected.peak.nodal.demand","Metric...System.x","System..grid....Internal.system.initial.cost","Sequence..Upstream.segment.distance.m","far.sighted.sequence","CumMV","MVPct","MVPhase","CumHH","HHPct","HHPhase","CumPkDmd","PkDmdPct","PkDmdPhase","ExtIniCst","TotalIniCst","CumTotalIniCst","TotalIniCstPct","TotalIniCstPhase","State_GIS"
95982771701750,"Yangon","",19,5.5,5.3,1,"Htantabin",9090,10051,NA,0.0068,0.012,10051,"DRD","Yangon","5","","0","Htantabin",0,NA,NA,9090,"","0",NA,NA,95.982778,17.0175,2716,992.1461187,"grid",1689420,1072.291765,59,20093.95985,"0.03257%",1,883803,0.1134096,1,394370.7763,"13.509%",1,20373.54353,1709793.544,549723577.6,0.0901664,1,"Yangon Region"
96320621714681,"Yangon_north","502",19,5.5,5.3,1,"Zayetkwin",12000,13269,NA,0.0068,0.012,13269,"DRD","Yangon","5","Hlegu","0","Zayetkwin",0,"3200","3000",12000,"Zayetkwin","0","3000","12000",96.320625,17.146815,3585,1309.589041,"grid",2228320,1881.847454,64,25180.96072,"0.04081%",1,894094,0.1147301,1,397812.6027,"13.627%",1,35755.10162,2264075.102,556216430.6,0.0912314,1,"Yangon Region"
96229181675373,"Yangon_south","501",19,5.5,5.3,1,"Bogyok",8384,9270,NA,0.0068,0.012,9270,"DRD","Yangon","5","Thanlyn","0","Bogyok",0,NA,NA,8384,"Bogyok","0",NA,NA,96.229187,16.753735,2505,915.0684932,"grid",1557820,1917.495834,77,42791.99519,"0.06936%",1,939376,0.1205407,1,414748.4932,"14.207%",1,36432.42085,1594252.421,584709785.3,0.0959049,1,"Yangon Region"
95993041726620,"Yangon_north","502",19,5.5,5.3,1,"Yetho",2848,3149,NA,0.0068,0.012,3149,"DRD","Yangon","5","Hmawbi","0","Yetho",0,NA,NA,2848,"Pugyi","0",NA,NA,95.993048,17.266205,705,257.5342466,"grid",440320,1056.645131,121,85508.24789,"0.13859%",1,1030862,0.1322802,1,448825.5708,"15.375%",1,20076.25749,460396.2575,642444170.9,0.1053746,1,"Yangon Region"
96038841697094,"Yangon_north","502",19,5.5,5.3,1,"Wataya",2495,2759,NA,0.0068,0.012,2759,"DRD","Yangon","5","Tantabin","0","Wataya",0,"400","350",2495,"Wataya","0","476",NA,96.038846,16.97094,618,225.7534247,"grid",385620,1748.158234,220,177389.3143,"0.28751%",1,1147654,0.147267,1,491521.0959,"16.837%",1,33215.00644,418835.0064,716886581.9,0.1175847,1,"Yangon Region"
96044951697697,"Yangon_north","502",19,5.5,5.3,1,"Wataya_ashe",2700,2985,NA,0.0068,0.012,2985,"DRD","Yangon","5","Hmawbi","0","Wataya_ashe",0,"943",NA,2700,"Wataya","0","713","2700",96.044953,16.976971,668,244.0182648,"grid",415620,933.5742471,221,178322.8885,"0.28902%",1,1148322,0.1473527,1,491746.8493,"16.845%",1,17737.91069,433357.9107,717319939.8,0.1176558,1,"Yangon Region"
96301571670526,"Yangon_south","501",19,5.5,5.3,1,"Htamalon",2170,2399,NA,0.0068,0.012,2399,"DRD","Yangon","5","Thanlyn","0","Htamalon",0,"542",NA,2170,"Letyetsan","0",NA,NA,96.30157,16.705265,538,196.5296804,"grid",335120,1121.554298,268,210224.4761,"0.34073%",1,1164369,0.1494118,1,497656.2557,"17.047%",1,21309.53166,356429.5317,727953322.3,0.1193999,1,"Yangon Region"
96340841678194,"Yangon_south","501",19,5.5,5.3,1,"Bawthabyegan",3725,4119,NA,0.0068,0.012,4119,"DRD","Yangon","5","Thanlyn","0","Bawthabyegan",0,"620","342",3725,"Bawthabyegan","0","372","3875",96.340842,16.78194,961,351.0502283,"grid",598920,2335.472215,310,258290.7108,"0.41863%",1,1226774,0.1574196,1,520298.0822,"17.823%",1,44373.97208,643293.9721,767728124.9,0.1259238,1,"Yangon Region"
96200251725568,"Yangon_north","502",19,5.5,5.3,1,"Gyogon",2454,2713,NA,0.0068,0.012,2713,"DRD","Yangon","5","Hlegu","0","Gyogon",0,"543","518",2454,"Hainggu","0","1031","4882",96.200259,17.255689,608,222.1004566,"grid",379620,1502.887734,327,268252.6442,"0.43478%",1,1232790,0.1581916,1,522624.6575,"17.903%",1,28554.86695,408174.8669,771679900.7,0.126572,1,"Yangon Region"
96309071671066,"Yangon_south","501",19,5.5,5.3,1,"Htanbinzeik",1587,1755,NA,0.0068,0.012,1755,"DRD","Yangon","5","Thanlyn","0","Htanbinzeik",0,NA,"400",1587,"Letyetsan","0",NA,NA,96.309078,16.710666,395,144.2922374,"grid",246820,1000.025044,339,280461.1865,"0.45457%",1,1238117,0.1588752,1,524648.4018,"17.972%",1,19000.47584,265820.4758,775236520.1,0.1271554,1,"Yangon Region"
96148311672862,"Yangon_south","501",19,5.5,5.3,1,"Chaunggwa",50,55,NA,0.0068,0.012,55,"DRD","Yangon","5","Twante","0","Chaunggwa",0,"10","10",50,"Nyaungngokto","0","164",NA,96.148311,16.728628,16,5.844748858,"grid",11920,1172.624512,431,369137.8237,"0.59829%",1,1280851,0.1643588,1,540397.4429,"18.511%",1,22279.86572,34199.86572,803603967.8,0.1318082,1,"Yangon Region"
96160641672534,"Yangon_south","501",19,5.5,5.3,1,"Ngadantaya",70,77,NA,0.0068,0.012,77,"DRD","Yangon","5","Twante","0","Ngadantaya",0,"14","22",70,"Nyaungngokto","0","164",NA,96.160642,16.72534,20,7.305936073,"grid",14320,1363.077206,432,370500.901,"0.60050%",1,1280871,0.1643614,1,540403.2877,"18.512%",1,25898.46692,40218.46692,803644186.3,0.1318148,1,"Yangon Region"
96162081672770,"Yangon_south","501",19,5.5,5.3,1,"Minywa_seikgyi",365,404,NA,0.0068,0.012,404,"DRD","Yangon","5","Twante","0","Minywa_seikgyi",0,"73","83",365,"Yegyaung","0","188",NA,96.162081,16.727704,93,33.97260274,"grid",58120,304.2704625,433,370805.1714,"0.60099%",1,1280964,0.1643733,1,540410.5936,"18.512%",1,5781.138787,63901.13879,803708087.4,0.1318253,1,"Yangon Region"
96176921673730,"Yangon_south","501",19,5.5,5.3,1,"Tadagyaung",3490,3859,NA,0.0068,0.012,3859,"DRD","Yangon","5","Twante","0","Tadagyaung",0,"0","373",3490,"Tadagyaung","0",NA,NA,96.176926,16.737305,863,315.2511416,"grid",537620,1907.528298,434,372712.6997,"0.60408%",1,1281827,0.1644841,1,540444.5662,"18.513%",1,36243.03765,573863.0377,804281950.5,0.1319194,1,"Yangon Region"
96184051673750,"Yangon_south","501",19,5.5,5.3,1,"Sanpya",4030,4456,NA,0.0068,0.012,4456,"DRD","Yangon","5","Twante","0","Sanpya",0,"0","450",4030,"Tadagyaung","0",NA,NA,96.184056,16.737506,1105,403.652968,"grid",687820,759.5618584,435,373472.2616,"0.60532%",1,1282932,0.1646258,1,540759.8174,"18.524%",1,14431.67531,702251.6753,804984202.2,0.1320346,1,"Yangon Region"
95915121652397,"Yangon_south","501",19,5.5,5.3,1,"Shangyun",394,436,NA,0.0068,0.012,436,"DRD","Yangon","5","Kawhmu","0","Shangyun",0,"75","66",394,"Masezeik","0","898",NA,95.915123,16.523978,101,36.89497717,"grid",62920,1130.859569,731,638884.4945,"1.03549%",1,1395983,0.1791325,1,582423.7443,"19.951%",1,21486.33182,84406.33182,880738430,0.1444599,1,"Yangon Region"
95925521652969,"Yangon_south","501",19,5.5,5.3,1,"Masezeik",2588,2862,NA,0.0068,0.012,2862,"DRD","Yangon","5","Kawhmu","0","Masezeik",0,NA,NA,2588,"Masezeik","0",NA,NA,95.925521,16.529699,641,234.1552511,"grid",399420,1278.014896,732,640162.5094,"1.03756%",1,1396624,0.1792148,1,582460.6393,"19.952%",1,24282.28303,423702.283,881162132.3,0.1445294,1,"Yangon Region"
95911241651735,"Yangon_south","501",19,5.5,5.3,1,"Sonshan",800,885,NA,0.0068,0.012,885,"DRD","Yangon","5","Kawhmu","0","Sonshan",0,"137","129",800,"Masezeik","0",NA,NA,95.911248,16.517356,201,73.42465753,"grid",125420,844.2947119,733,641006.8041,"1.03893%",1,1396825,0.1792406,1,582694.7945,"19.960%",1,16041.59953,141461.5995,881303593.9,0.1445526,1,"Yangon Region"
95902511650296,"Yangon_south","501",19,5.5,5.3,1,"Wathinka_atet",1435,1587,NA,0.0068,0.012,1587,"DRD","Yangon","5","Kawhmu","0","Wathinka_atet",0,"187","187",1435,"Wathinka_auk","0","450","3061",95.902519,16.502961,357,130.4109589,"grid",224020,1851.516379,734,642858.3205,"1.04193%",1,1397182,0.1792864,1,582768.2192,"19.963%",1,35178.81119,259198.8112,881562792.7,0.1445951,1,"Yangon Region"
95906331649676,"Yangon_south","501",19,5.5,5.3,1,"Wathinka_auk",1626,1798,NA,0.0068,0.012,1798,"DRD","Yangon","5","Kawhmu","0","Wathinka_auk",0,"263","263",1626,"Wathinka_auk","0","450","3061",95.906336,16.496767,404,147.5799087,"grid",252220,799.9859641,735,643658.3064,"1.04323%",1,1397586,0.1793382,1,582898.6301,"19.967%",1,15199.73332,267419.7333,881830212.4,0.144639,1,"Yangon Region"
95896821648425,"Yangon_south","501",19,5.5,5.3,1,"Hmawdaw",2608,2884,NA,0.0068,0.012,2884,"DRD","Yangon","5","Kawhmu","0","Hmawdaw",0,NA,"431",2608,"Hmawdaw","0","431",NA,95.896828,16.484259,646,235.9817352,"grid",402420,1721.076112,736,645379.3825,"1.04602%",1,1398232,0.1794211,1,583046.21,"19.972%",1,32700.44612,435120.4461,882265332.8,0.1447104,1,"Yangon Region"
95898901647033,"Yangon_south","501",19,5.5,5.3,1,"Pokppa",2278,2519,NA,0.0068,0.012,2519,"DRD","Yangon","5","Kawhmu","0","Pokppa",0,"335","317",2278,"Pokppa","0","317",NA,95.898906,16.470331,565,206.3926941,"grid",351320,1564.495246,737,646943.8778,"1.04855%",1,1398797,0.1794936,1,583282.1918,"19.980%",1,29725.40967,381045.4097,882646378.3,0.1447729,1,"Yangon Region"
95879981642665,"Yangon_south","501",19,5.5,5.3,1,"Kyonlata",1290,1426,NA,0.0068,0.012,1426,"DRD","Yangon","5","Kawhmu","0","Kyonlata",0,"145","145",1290,"Kyonlata","0","145","1290",95.879983,16.426654,321,117.260274,"grid",199920,1030.846671,835,723927.2951,"1.17333%",1,1429721,0.1834618,1,594667.7626,"20.370%",2,19586.08676,219506.0868,903467818.7,0.148188,1,"Yangon Region"
96391651703500,"Yangon_north","502",19,5.5,5.3,1,"Kyweguseik",455,503,NA,0.0068,0.012,503,"DRD","Yangon","5","Hlegu","0","Kyweguseik",0,"42","40",455,"Dabein_myauk","0","785","4862",96.391653,17.035003,115,42.00913242,"grid",71320,555.8092776,1063,980591.3717,"1.58932%",1,1523189,0.1954556,1,628886.5753,"21.543%",2,10560.37627,81880.37627,966738634.9,0.1585658,1,"Yangon Region"
96384561703284,"Yangon_north","502",19,5.5,5.3,1,"Tawyatkyaung",275,304,NA,0.0068,0.012,304,"DRD","Yangon","5","Hlegu","0","Tawyatkyaung",0,"56","50",275,"Dabein_myauk","0","785","4862",96.384567,17.032843,72,26.30136986,"grid",45520,790.7232597,1064,981382.095,"1.59060%",1,1523261,0.1954649,1,628928.5845,"21.544%",2,15023.74193,60543.74193,966799178.7,0.1585757,1,"Yangon Region"
96372581703288,"Yangon_north","502",19,5.5,5.3,1,"Dabein_taung",8356,9239,NA,0.0068,0.012,9239,"DRD","Yangon","5","Hlegu","0","Dabein_taung",0,"1192","1850",8356,"Dabein_taung","0","1900","8601",96.37258,17.032883,2497,912.1461187,"grid",1553020,1274.438506,1065,982656.5335,"1.59267%",1,1525758,0.1957853,1,628954.8858,"21.545%",2,24214.3316,1577234.332,968376413,0.1588344,1,"Yangon Region"
96167701643723,"Yangon_south","501",19,5.5,5.3,1,"Kawdun",1303,1441,NA,0.0068,0.012,1441,"DRD","Yangon","5","Kongyangon","0","Kawdun",0,"273","270",1303,"Kawdun","0","374","1720",96.167709,16.437236,324,118.3561644,"grid",201720,1204.558282,1127,1055362.216,"1.71051%",1,1602304,0.2056077,2,657710.6849,"22.530%",2,22886.60736,224606.6074,1017395543,0.1668746,1,"Yangon Region"
96353261709611,"Yangon_north","502",19,5.5,5.3,1,"Khindan",50,55,NA,0.0068,0.012,55,"DRD","Yangon","5","Hlegu","0","Khindan",0,"15","10",50,"Swelat","0","52","260",96.353266,17.096113,16,5.844748858,"grid",11920,1031.162387,1159,1084038.542,"1.75699%",1,1610956,0.2067179,2,660983.7443,"22.642%",2,19592.08535,31512.08535,1023364943,0.1678537,1,"Yangon Region"
96353671710263,"Yangon_north","502",19,5.5,5.3,1,"Swelat",210,232,NA,0.0068,0.012,232,"DRD","Yangon","5","Hlegu","0","Swelat",0,"51","42",210,"Swelat","0","52","260",96.353676,17.102637,54,19.7260274,"grid",34720,726.7443648,1160,1084765.286,"1.75816%",1,1611010,0.2067248,2,660989.589,"22.642%",2,13808.14293,48528.14293,1023413471,0.1678617,1,"Yangon Region"
96349591711602,"Yangon_north","502",19,5.5,5.3,1,"Thayettaw",700,774,NA,0.0068,0.012,774,"DRD","Yangon","5","Hlegu","0","Thayettaw",0,"134","120",700,"Alangabo","0","680","7344",96.349595,17.116024,176,64.29223744,"grid",110420,1550.463504,1161,1086315.75,"1.76068%",1,1611186,0.2067474,2,661009.3151,"22.643%",2,29458.80658,139878.8066,1023553350,0.1678846,1,"Yangon Region"
